a,profile_b,profile_NLL,optimizer_success,delta_NLL
2.042610981147395,-1.9030880138331345,2133041.508339007,True,127902.13608216494
2.0592776478140618,-1.9226992400546465,2128083.6044272427,True,122944.23217040068
2.0759443144807284,-1.9422914685572992,2123253.3497485323,True,118113.97749169031
2.092610981147395,-1.9618651437056636,2118548.61011453,True,113409.23785768822
2.109277647814062,-1.9814205861649545,2113967.294423565,True,108827.92216672283
2.1259443144807286,-2.000958107247082,2109507.3536913637,True,104367.98143452173
2.1426109811473952,-2.020478127993115,2105166.7801036215,True,100027.40784677956
2.159277647814062,-2.03998091279735,2100943.6060900306,True,95804.23383318866
2.1759443144807284,-2.059466685624317,2096835.9034193845,True,91696.53116254252
2.192610981147395,-2.0789359365797924,2092841.7823153916,True,87702.4100585496
2.2092776478140617,-2.098388843606602,2088959.3905927928,True,83820.0183359508
2.2259443144807283,-2.1178257293736658,2085186.9128134048,True,80047.54055656283
2.2426109811473953,-2.137246879348932,2081522.5694617042,True,76383.19720486226
2.259277647814062,-2.156652571340755,2077964.6161395577,True,72825.2438827157
2.2759443144807285,-2.1760430767270815,2074511.3427797174,True,69371.97052287543
2.292610981147395,-2.1954186604443358,2071161.0728776956,True,66021.70062085357
2.3092776478140618,-2.2147796130333846,2067912.162741636,True,62772.79048479395
2.3259443144807284,-2.23412608797179,2064763.0007598028,True,59623.62850296078
2.342610981147395,-2.253458429957745,2061712.0066853107,True,56572.634428468766
2.3592776478140616,-2.2727768456180932,2058757.6309377218,True,53618.25868087984
2.3759443144807286,-2.2920815693578906,2055898.3539211447,True,50758.98166430276
2.3926109811473952,-2.3113728298253697,2053132.6853584659,True,47993.313101623906
2.409277647814062,-2.3306508498623213,2050459.1636413601,True,45319.79138451815
2.4259443144807284,-2.3499158475566073,2047876.355195717,True,42736.98293887498
2.442610981147395,-2.369168035419231,2045382.8538621422,True,40243.481605300214
2.4592776478140617,-2.3884076214084087,2042977.2802911825,True,37837.90803434048
2.4759443144807287,-2.4076348082291466,2040658.2813529377,True,35518.90909609571
2.4926109811473953,-2.426849794412049,2038424.5295607285,True,33285.15730388649
2.509277647814062,-2.4460527728990944,2036274.7225084833,True,31135.350251641357
2.5259443144807285,-2.465243933458359,2034207.5823215365,True,29068.21006469452
2.542610981147395,-2.484423460647179,2032221.8551205068,True,27082.48286366486
2.5592776478140618,-2.503591535091663,2030316.3104979536,True,25176.93824111158
2.5759443144807284,-2.522748334312575,2028489.7410075075,True,23350.36875066557
