criterion,final_source,final_source_name,a_hat,b_hat,SE_a,SE_b,CI95_a_low,CI95_a_high,CI95_b_low,CI95_b_high,parameter_correlation,best_NLL,best_NLL_per_trial,analytic_gradient_norm,finite_diff_gradient_norm,gradient_difference_norm,hessian_min_eigenvalue,hessian_max_eigenvalue,hessian_positive_definite,optimizer_spread_a,optimizer_spread_b,optimizer_spread_NLL,multistart_spread_a,multistart_spread_b,multistart_spread_NLL,profile_a_all_success,profile_b_all_success
R_mean,multistart,start_8,2.651532079756129,-2.8017933570593074,0.0019361862866093115,0.002656889284237045,2.6477371546343744,2.655327004877883,-2.8070008600564123,-2.7965858540622026,-0.8945747744530689,2298267.9763199124,0.26600323799998987,1.2876800587915837e-09,0.002623310208385055,0.00262330982695239,97139.89446718647,1947622.9759125956,True,5.400732616678283e-08,9.447083204605633e-08,4.656612873077393e-10,9.801608413795293e-10,1.4819616644956568e-09,4.656612873077393e-10,True,True
R_local,multistart,start_5,3.042610981147395,-3.0551679790929867,0.00231049763448394,0.0029128236948717827,3.0380824057838067,3.0471395565109836,-3.0608771135349353,-3.049458844651038,-0.899284279294119,2005139.372256842,0.23207631623343078,2.460858051925226e-09,0.0017257290452130103,0.0017257278363340695,75960.07491741725,1519455.2821838632,True,5.619142484647455e-09,1.7081686287667708e-08,2.3283064365386963e-10,1.6465423247069566e-08,2.134636067907536e-08,4.656612873077393e-10,True,True
R_full,multistart,start_7,4.364460898492347,-2.1627044655695773,0.0032069040329421564,0.0023532274020261795,4.358175366587781,4.370746430396914,-2.1673167912775484,-2.158092139861606,-0.8463297403068677,2097674.3719394915,0.24278638564114485,3.748416386968941e-08,0.0004626538813226911,0.00046268216192965915,67913.8732662645,911260.799660993,True,2.795128538579661e-05,1.2083171261334513e-05,4.6776607632637024e-05,3.1591795845997694e-10,1.4957102223434049e-09,4.656612873077393e-10,True,True
