source,source_name,a,b,NLL,gradient_norm
optimizer,BFGS,4.364460898455145,-2.162704465646558,2097674.371939492,7.69176973979406e-05
optimizer,L-BFGS-B,4.36446089850188,-2.1627044656077685,2097674.3719394915,2.3664602544260203e-05
optimizer,Nelder-Mead,4.364460912047109,-2.1627044650770717,2097674.3719394915,0.007455819754842207
optimizer,Powell,4.364432960761723,-2.1626923824752966,2097674.371986268,5.853653684479898
multistart,start_0,4.364460898492968,-2.1627044655701915,2097674.3719394915,1.1234496185676086e-07
multistart,start_1,4.36446089848261,-2.162704465558068,2097674.3719394915,3.719271548358679e-06
multistart,start_2,4.364460898686506,-2.1627044656425283,2097674.3719394915,4.841353423661713e-05
multistart,start_3,4.3644608985314814,-2.162704467053778,2097674.3719394915,0.0010917348706737833
multistart,start_4,4.36446089850188,-2.1627044656077685,2097674.3719394915,2.3664602544260203e-05
multistart,start_5,4.364460898600692,-2.162704465755475,2097674.3719394915,8.374929916859802e-05
multistart,start_6,4.364460898788122,-2.162704465567597,2097674.371939492,0.0001562362053035095
multistart,start_7,4.364460898492347,-2.1627044655695773,2097674.3719394915,3.748416386968941e-08
multistart,start_8,4.364460898484786,-2.1627044656136314,2097674.371939492,3.6880043924524655e-05
multistart,start_9,4.364460898472204,-2.1627044655740093,2097674.3719394915,1.3790303865892016e-05
