a,profile_b,profile_NLL,optimizer_success,delta_NLL
1.6515320797561288,-1.5507783545251275,2484717.2543364046,True,186449.27801649226
1.6681987464227954,-1.5722063134533795,2477407.537044362,True,179139.5607244498
1.6848654130894622,-1.5936052226289186,2470290.730065443,True,172022.75374553073
1.7015320797561289,-1.614975803491309,2463363.436245481,True,165095.45992556866
1.7181987464227955,-1.636318662206116,2456622.327024489,True,158354.35070457682
1.734865413089462,-1.6576345300492326,2450064.141065481,True,151796.16474556876
1.751532079756129,-1.6789240168823236,2443685.682900519,True,145417.70658060675
1.7681987464227955,-1.7001877860743504,2437483.821594672,True,139215.84527475946
1.7848654130894621,-1.7214264111624382,2431455.4894284857,True,133187.5131085734
1.8015320797561287,-1.7426404296872056,2425597.6805994795,True,127329.70427956712
1.8181987464227956,-1.7638304651102705,2419907.449943105,True,121639.47362319287
1.8348654130894622,-1.7849971268867368,2414381.911673545,True,116113.93535363255
1.8515320797561288,-1.8061408780891293,2409018.2381446515,True,110750.26182473917
1.8681987464227956,-1.8272622987565295,2403813.6586312717,True,105545.68231135933
1.8848654130894622,-1.8483618463178957,2398765.4581311503,True,100497.48181123799
1.9015320797561288,-1.8694399899427787,2393870.9761875495,True,95602.99986763718
1.9181987464227954,-1.8904973798425875,2389127.605732674,True,90859.62941276142
1.934865413089462,-1.9115342632388013,2384532.791951957,True,86264.8156320448
1.9515320797561289,-1.9325512943628904,2380084.0311692124,True,81816.05484930007
1.9681987464227955,-1.9535488047964997,2375778.8697526264,True,77510.89343271405
1.984865413089462,-1.9745272260150373,2371614.9030415304,True,73346.92672161805
2.001532079756129,-1.9954870661403128,2367589.774293867,True,69321.79797395458
2.0181987464227955,-2.0164286460874363,2363701.1736542326,True,65433.197334320284
2.034865413089462,-2.03735242287735,2359946.8371423483,True,61678.860822435934
2.0515320797561287,-2.0582586919007926,2356324.5456618047,True,58056.56934189238
2.0681987464227953,-2.0791479196925926,2352832.1240288923,True,54564.1477089799
2.084865413089462,-2.1000204415236743,2349467.440021315,True,51199.46370140277
2.101532079756129,-2.120876580806034,2346228.4034465686,True,47960.42712665629
2.1181987464227956,-2.141716809570714,2343112.9652297543,True,44844.98890984198
2.134865413089462,-2.1625412412268603,2340119.116520581,True,41851.14020066848
2.151532079756129,-2.18335039335428,2337244.8878192985,True,38976.91149938619
2.1681987464227954,-2.2041445527570143,2334488.3481213003,True,36220.371801387984
2.184865413089462,-2.22492392958072,2331847.6040801154,True,33579.62776020309
2.201532079756129,-2.2456889559176227,2329320.799188514,True,31052.82286860142
2.2181987464227957,-2.2664398246535282,2326906.1129774386,True,28638.13665752625
2.2348654130894623,-2.2871768524295475,2324601.7602324667,True,26333.783912554383
2.251532079756129,-2.3079003154044777,2322405.9902275065,True,24138.01390759414
2.2681987464227955,-2.3286104822151517,2320317.0859754346,True,22049.109655522276
2.284865413089462,-2.3493076485192845,2318333.3634953666,True,20065.387175454292
2.3015320797561287,-2.3699919632038196,2316453.1710962583,True,18185.194776345976
2.3181987464227953,-2.3906637784215374,2314674.888676542,True,16406.912356629502
2.334865413089462,-2.4113232987161077,2312996.927039479,True,14728.95071956655
2.3515320797561285,-2.4319707575310616,2311417.727223937,True,13149.750904024579
2.3681987464227956,-2.452606381838524,2309935.759850285,True,11667.78353037266
2.384865413089462,-2.4732304291616636,2308549.5244811047,True,10281.548161192331
2.401532079756129,-2.4938430039036477,2307257.5489964103,True,8989.572676497977
2.4181987464227954,-2.5144444246639046,2306058.3889831,True,7790.412663187832
2.434865413089462,-2.5350348579153814,2304950.627138316,True,6682.65081840381
2.451532079756129,-2.555614500647649,2303932.87268644,True,5664.89636652777
2.4681987464227957,-2.5761835828632975,2303003.760809432,True,4735.7844895194285
2.4848654130894623,-2.5967422152600066,2302161.952090214,True,3893.975770301651
2.501532079756129,-2.6172905778220774,2301406.1319688344,True,3138.155648922082
2.5181987464227955,-2.637828924928295,2300735.0102111166,True,2467.033891204279
2.534865413089462,-2.6583574283783764,2300147.320389526,True,1879.3440696136095
2.5515320797561287,-2.678876136904826,2299641.81937598,True,1373.8430560678244
2.5681987464227953,-2.6993853308337714,2299217.286846343,True,949.3105264306068
2.584865413089462,-2.7198851282736207,2298872.524796324,True,604.5484764114954
2.6015320797561285,-2.7403756842014295,2298606.3570685415,True,338.38074862910435
2.6181987464227956,-2.760857146762102,2298417.6288904827,True,149.65257057035342
2.634865413089462,-2.7813296600396527,2298305.206423115,True,37.230103202629834
2.651532079756129,-2.801793364889193,2298267.9763199124,True,0.0
2.6681987464227954,-2.8222483982596147,2298304.8452960355,True,36.86897612316534
2.684865413089462,-2.8426948932898775,2298414.739707447,True,146.7633875347674
2.701532079756129,-2.863132979421889,2298596.6051397305,True,328.6288198181428
2.7181987464227957,-2.883562782496436,2298849.406006367,True,581.4296864545904
2.7348654130894623,-2.9039844248508904,2299172.1251562713,True,904.148836358916
2.751532079756129,-2.9243980254149884,2299563.763490353,True,1295.7871704404242
2.7681987464227955,-2.9448036998069727,2300023.339586894,True,1755.3632669816725
2.784865413089462,-2.965201516402028,2300549.8893355355,True,2281.9130156231113
2.8015320797561287,-2.985591716500447,2301142.465579667,True,2874.4892597547732
2.8181987464227953,-3.005974229644117,2301800.137767014,True,3532.1614471017383
2.834865413089462,-3.0263492920203703,2302521.9916082425,True,4254.015288330149
2.8515320797561285,-3.0467170048847283,2303307.1287433654,True,5039.152423453052
2.868198746422795,-3.067077330110916,2304154.6664157873,True,5886.690095874947
2.884865413089462,-3.0874304981762855,2305063.737153792,True,6795.760833879467
2.901532079756129,-3.107776535059257,2306033.48845929,True,7765.51213937765
2.9181987464227954,-3.128115570679686,2307063.082503666,True,8795.106183753815
2.934865413089462,-3.148447672741383,2308151.69583054,True,9883.719510627445
2.951532079756129,-3.168772925863786,2309298.5190652837,True,11030.54274537135
2.9681987464227957,-3.1890914595964333,2310502.7566311313,True,12234.780311218929
2.9848654130894623,-3.209403259510884,2311763.6264717146,True,13495.650151802227
3.001532079756129,-3.2297084503061937,2313080.35977988,True,14812.383459967561
3.0181987464227955,-3.250007059224542,2314452.200732628,True,16184.224412715528
3.034865413089462,-3.2702993043474478,2315878.406232025,True,17610.429912112653
3.0515320797561287,-3.2905850633999405,2317358.2456519576,True,19090.269332045224
3.0681987464227953,-3.310864551292041,2318891.000590564,True,20623.024270651862
3.084865413089462,-3.3311378362509085,2320475.964628229,True,22207.988308316562
3.1015320797561285,-3.351404885121814,2322112.443090994,True,23844.466771081556
3.118198746422795,-3.3716657605769593,2323799.752819253,True,25531.776499340776
3.134865413089462,-3.391920674537677,2325537.2219416136,True,27269.245621701237
3.151532079756129,-3.412169486256511,2327324.1896537896,True,29056.21333387727
3.1681987464227954,-3.4324124560659945,2329160.006002409,True,30892.029682496563
3.184865413089462,-3.4526494887053305,2331044.0316736167,True,32776.055353704374
3.201532079756129,-3.472880689930292,2332975.637786357,True,34707.66146644484
3.2181987464227957,-3.49310611326374,2334954.205690226,True,36686.2293703137
3.2348654130894623,-3.5133257585852067,2336979.1267677746,True,38711.15044786222
3.251532079756129,-3.5335398328646703,2339049.802241165,True,40781.825921252836
3.2681987464227955,-3.553748228810202,2341165.6429830785,True,42897.666663166136
3.284865413089462,-3.573951046292439,2343326.0693317503,True,45058.09301183792
3.3015320797561287,-3.594148331693102,2345530.5109100654,True,47262.53459015302
3.3181987464227953,-3.6143401300916884,2347778.406448591,True,49510.43012867868
3.334865413089462,-3.6345264853076866,2350069.2036124654,True,51801.227292553056
3.3515320797561285,-3.6547074398987807,2352402.358832042,True,54134.38251212984
3.368198746422795,-3.67488303523265,2354777.3371372144,True,56509.36081730202
3.384865413089462,-3.695053311539457,2357193.611995311,True,58925.63567539863
3.401532079756129,-3.7152183078797476,2359650.6651524957,True,61382.68883258337
3.4181987464227954,-3.7353780622516237,2362147.986478584,True,63880.01015867153
3.434865413089462,-3.7555326115799708,2364685.073815184,True,66417.09749527182
3.451532079756129,-3.775681991737626,2367261.432827099,True,68993.45650718687
3.4681987464227957,-3.7958262376276504,2369876.5768569075,True,71608.6005369951
3.4848654130894623,-3.8159653831369216,2372530.0267826356,True,74262.05046272324
3.501532079756129,-3.8360994612648276,2375221.3108784715,True,76953.33455855912
3.5181987464227955,-3.856228504055188,2377949.964678427,True,79681.98835851485
3.534865413089462,-3.876352485159656,2380715.530842892,True,82447.55452297954
3.5515320797561287,-3.8964716074697985,2383517.559028003,True,85249.58270809054
3.5681987464227953,-3.916585727889629,2386355.605757776,True,88087.62943786383
3.584865413089462,-3.9366949326029244,2389229.234298915,True,90961.25797900278
3.6015320797561285,-3.956799249521224,2392138.0145382574,True,93870.03821834503
3.618198746422795,-3.976898705743582,2395081.522862778,True,96813.54654286569
3.634865413089462,-3.9969932683636067,2398059.3420421034,True,99791.36572219105
3.651532079756129,-4.017083141037659,2401071.061113466,True,102803.08479355369
