b,profile_a,profile_NLL,optimizer_success,delta_NLL
-3.1627044655695773,5.556622495811711,2172468.298848886,True,74793.92690939456
-3.1460377989029107,5.536234688541379,2170209.826275159,True,72535.45433566766
-3.129371132236244,5.5158612622341625,2167979.569947958,True,70305.19800846651
-3.1127044655695775,5.495502278441132,2165777.797897286,True,68103.4259577943
-3.0960377989029104,5.475157802391415,2163604.7810384887,True,65930.40909899725
-3.079371132236244,5.454828102177757,2161460.7932045823,True,63786.421265090816
-3.062704465569577,5.434513251367319,2159346.1111788917,True,61671.73923940025
-3.0460377989029106,5.414213414215073,2157261.0147280265,True,59586.642788534984
-3.029371132236244,5.3939287399492075,2155205.786635168,True,57531.414695676416
-3.0127044655695774,5.373659381091984,2153180.7127336967,True,55506.3407942052
-2.9960377989029108,5.3534054907622615,2151186.081941136,True,53511.71000164468
-2.979371132236244,5.333167224832976,2149222.186293428,True,51547.81435393635
-2.962704465569577,5.312944740914684,2147289.320979532,True,49614.949040040374
-2.9460377989029105,5.2927382066719195,2145387.7843763577,True,47713.4124368662
-2.929371132236244,5.272547794809838,2143517.8780840193,True,45843.50614452781
-2.9127044655695773,5.2523735688188244,2141679.906961418,True,44005.53502192674
-2.8960377989029107,5.232215846598905,2139874.179162158,True,42199.807222666685
-2.879371132236244,5.212074712266888,2138101.0061707804,True,40426.63423128892
-2.8627044655695775,5.19195032881055,2136360.7028393275,True,38686.33089983603
-2.846037798902911,5.171842938380081,2134653.587424232,True,36979.21548474068
-2.829371132236244,5.151752593233029,2132979.9816235323,True,35305.60968404077
-2.812704465569577,5.131679572536328,2131340.210614405,True,33665.838674913626
-2.7960377989029106,5.111624022588415,2129734.6030910243,True,32060.231151532847
-2.779371132236244,5.091586124439995,2128163.491302738,True,30489.119363246486
-2.7627044655695774,5.071566061276896,2126627.211092565,True,28952.839153073728
-2.7460377989029108,5.051563943823904,2125126.1019360013,True,27451.72999650985
-2.7293711322362437,5.031580110418227,2123660.5069801463,True,25986.1350406548
-2.712704465569577,5.011614676428682,2122230.773083137,True,24556.401143645402
-2.6960377989029105,4.991667835094029,2120837.250853887,True,23162.878914395347
-2.679371132236244,4.971739769616001,2119480.2946921345,True,21805.922752643004
-2.6627044655695773,4.951830668476416,2118160.262828784,True,20485.890889292583
-2.6460377989029107,4.931940745306023,2116877.517366554,True,19203.145427062642
-2.629371132236244,4.912070200176008,2115632.4243209064,True,17958.05238141492
-2.6127044655695775,4.892219237741946,2114425.35366127,True,16750.9817217784
-2.596037798902911,4.872388063974854,2113256.679352546,True,15582.30741305463
-2.579371132236244,4.852576933534584,2112126.7793968897,True,14452.40745739825
-2.562704465569577,4.832785957742295,2111036.035875763,True,13361.663936271332
-2.5460377989029106,4.8130154031017085,2109984.834992251,True,12310.463052759413
-2.529371132236244,4.793265472378317,2108973.567113643,True,11299.195174151566
-2.5127044655695774,4.773536444531963,2108002.62681426,True,10328.254874768667
-2.4960377989029108,4.753828471088195,2107072.412918524,True,9398.040979032405
-2.4793711322362437,4.734141801019877,2106183.3285442716,True,8508.956604780164
-2.462704465569577,4.714476661154177,2105335.781146288,True,7661.4092067964375
-2.4460377989029105,4.694833280975635,2104530.1825600625,True,6855.810620571021
-2.429371132236244,4.675211899476369,2103766.949045752,True,6092.577106260695
-2.4127044655695773,4.6556127449904325,2103046.5013323445,True,5372.129392853007
-2.3960377989029107,4.6360360551476765,2102369.264662011,True,4694.89272251958
-2.379371132236244,4.616482070315486,2101735.6688346313,True,4061.2968951398507
-2.3627044655695775,4.596951033511753,2101146.1482524895,True,3471.7763129980303
-2.346037798902911,4.577443190608219,2100601.1419651196,True,2926.7700256281532
-2.329371132236244,4.557958790412516,2100101.0937142875,True,2426.721774796024
-2.312704465569577,4.538498084425489,2099646.451979105,True,1972.0800396134146
-2.2960377989029106,4.519061327053556,2099237.670021248,True,1563.2980817565694
-2.279371132236244,4.4996487755070005,2098875.205930273,True,1200.833990781568
-2.2627044655695774,4.480260686403695,2098559.522669015,True,885.150729523506
-2.2460377989029108,4.460897330322312,2098291.088119042,True,616.7161795506254
-2.2293711322362437,4.441558964054527,2098070.375126158,True,396.0031866664067
-2.212704465569577,4.422245863548866,2097897.8615459343,True,223.48960644286126
-2.1960377989029105,4.402958299090167,2097774.0302892383,True,99.65834974683821
-2.179371132236244,4.383696545560618,2097699.3693677597,True,24.9974282681942
-2.1627044655695773,4.3644608808496095,2097674.3719394915,True,0.0
-2.1460377989029107,4.345251585863733,2097699.5363541627,True,25.164414671249688
-2.129371132236244,4.326069008743438,2097775.366198579,True,100.99425908736885
-2.1127044655695775,4.306913243867745,2097902.3703418705,True,227.99840237898752
-2.096037798902911,4.287784773883627,2098081.0629805997,True,406.6910411082208
-2.0793711322362443,4.268683827715244,2098311.963683718,True,637.5917442264035
-2.062704465569577,4.249610764629901,2098595.597437334,True,921.2254978423007
-2.0460377989029106,4.230565694751169,2098932.494689271,True,1258.1227497793734
-2.029371132236244,4.211549172197935,2099323.1913933805,True,1648.8194538890384
-2.0127044655695774,4.192561251948559,2099768.229053583,True,2093.8571140915155
-1.9960377989029106,4.173602430200301,2100268.154767597,True,2593.7828281056136
-1.979371132236244,4.154672956268205,2100823.521270335,True,3149.1493308437057
-1.9627044655695773,4.135773206524848,2101434.8869769173,True,3760.5150374257937
-1.9460377989029107,4.116903314972662,2102102.8160252785,True,4428.44408578705
-1.929371132236244,4.098063787064919,2102827.878318322,True,5153.5063788304105
-1.9127044655695773,4.079254885909537,2103610.649565584,True,5936.277626092546
-1.8960377989029107,4.060476939175443,2104451.711324375,True,6777.339384883642
-1.879371132236244,4.0417303376835845,2105351.651040338,True,7677.279100846499
-1.8627044655695773,4.023015295242633,2106311.0620874027,True,8636.690147911198
-1.8460377989029106,4.004332149894416,2107330.543807068,True,9656.171867576428
-1.829371132236244,3.9856814203357835,2108410.701546984,True,10736.329607492313
-1.8127044655695772,3.9670632495266345,2109552.1466987743,True,11877.774759282824
-1.7960377989029106,3.948478091337151,2110755.496735051,True,13081.124795559328
-1.779371132236244,3.929926270103927,2112021.3752455683,True,14347.003306076862
-1.7627044655695774,3.9114081389575803,2113350.4119724683,True,15676.040032976773
-1.7460377989029106,3.8929240542598276,2114743.2428445495,True,17068.870905057993
-1.729371132236244,3.8744744330847376,2116200.510010518,True,18526.138071026653
-1.7127044655695773,3.8560594654981872,2117722.8618711447,True,20048.489931653254
-1.6960377989029107,3.8376796899096712,2119310.9531102795,True,21636.581170788035
-1.679371132236244,3.819335417710971,2120965.4447246534,True,23291.0727851619
-1.6627044655695773,3.8010270210033923,2122687.004052404,True,25012.632112912368
-1.6460377989029107,3.782754818741902,2124476.304800259,True,26801.93286076747
-1.629371132236244,3.7645193576844447,2126334.027069304,True,28659.655129812658
-1.6127044655695773,3.7463208506541528,2128260.857379274,True,30586.485439782497
-1.5960377989029106,3.7281597382569465,2130257.488691272,True,32583.116751780733
-1.579371132236244,3.710036407726565,2132324.620428874,True,34650.24848938268
-1.5627044655695772,3.691951249531945,2134462.9584975056,True,36788.586558014154
-1.5460377989029106,3.673904657101406,2136673.215302038,True,38998.843362546526
-1.529371132236244,3.655897026613466,2138956.1097625075,True,41281.73782301601
-1.5127044655695774,3.637928757453825,2141312.3673278783,True,43637.99538838677
-1.4960377989029106,3.620000251613758,2143742.71998776,True,46068.34804826835
-1.479371132236244,3.602111914032964,2146247.9062819947,True,48573.534342503175
-1.4627044655695773,3.584264165599077,2148828.6713080206,True,51154.299368529115
-1.4460377989029107,3.5664573905350068,2151485.7667259187,True,53811.39478642726
-1.429371132236244,3.54869196263124,2154219.9507610444,True,56545.57882155292
-1.4127044655695773,3.5309684558493064,2157031.9882041556,True,59357.6162646641
-1.3960377989029107,3.5132870785839456,2159922.650408929,True,62248.27846943773
-1.379371132236244,3.4956484092356783,2162892.7152867652,True,65218.34334727377
-1.3627044655695773,3.4780528191138256,2165942.9672987764,True,68268.5953592849
-1.3460377989029106,3.4605007343353895,2169074.19744486,True,71399.82550536841
-1.329371132236244,3.442992634655449,2172287.2032497344,True,74612.83131024288
-1.3127044655695774,3.4255288485061044,2175582.7887458433,True,77908.41680635186
-1.2960377989029106,3.408109860517479,2178961.764452999,True,81287.39251350751
-1.279371132236244,3.390736055796691,2182424.9473546688,True,84750.57541517727
-1.2627044655695774,3.373408022922717,2185973.1608707695,True,88298.78893127805
-1.2460377989029106,3.3561260008741867,2189607.234826871,True,91932.86288737971
-1.229371132236244,3.3388906310156434,2193328.0054196715,True,95653.63348018005
-1.2127044655695773,3.321702158258258,2197136.3151786365,True,99461.94323914498
-1.1960377989029107,3.3045611767304046,2201033.0129236677,True,103358.64098417619
-1.179371132236244,3.287468084052943,2205018.95371869,True,107344.58177919872
-1.1627044655695773,3.2704233776493714,2209094.9988210173,True,111420.62688152585
