graph_type,method,R2,MAE,RMSE,bias
star,spectral_H1_empirical_tau,0.9999872936618225,0.0008218037233044341,0.0011249736539427626,0.0002527393991900985
star,fully_spectral,0.9999876559019321,0.0007620487334647635,0.0011128135461429254,0.0003361917301673562
random_geometric,spectral_H1_empirical_tau,0.9999860889042929,0.0008065226692341888,0.0011941159699573724,8.612429107171391e-05
random_geometric,fully_spectral,0.9999857801852104,0.0008121888386107851,0.0012079809453837535,5.7346507612402324e-05
random_regular,spectral_H1_empirical_tau,0.9999864106391747,0.0006296230152906725,0.0012275299909363907,2.8130712163020545e-05
random_regular,fully_spectral,0.9999858592311232,0.0006785823362975929,0.001253258526551396,-2.464365253325132e-07
