method,R2,MAE,RMSE,bias
spectral_H1_empirical_tau,0.9999913641862126,0.0007526498026097652,0.0011829776766590402,0.00012233146747494433
fully_spectral,0.99999122217136,0.0007509399694577138,0.0011927878949842948,0.00013109726708480866
