graph_type,old_R2,local_R2,old_MAE,local_MAE,old_RMSE,local_RMSE,old_bias,local_bias
star,-0.2085799194092297,0.7751889140635673,0.1937486966147348,0.0751634835318829,0.2967389734147117,0.1279810781690187,-0.17994948597905971,-0.059744709209444365
erdos_renyi,0.988598512216684,0.9899638065105267,0.02761137286719541,0.030343904974489036,0.03779269202039779,0.03545778301533867,-0.010743827847153864,0.019170240344336245
watts_strogatz,0.9895356212200399,0.9859545480775098,0.03144429936694251,0.03348894779314725,0.037699726142703845,0.04367665079152521,0.019492665967661135,0.027096809957943578
barabasi_albert,0.9311436727712852,0.9898364933743464,0.06588934652578529,0.02881399409645906,0.09386715108393845,0.036063136640072754,-0.05263304310437189,-0.0006722096828101537
