graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,degree_std,degree_cv,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr_mean,predicted_pd_mean,mean_local_gesnr,median_local_gesnr,predicted_pd_local,residual_mean,residual_local,star_center_observed_pd,star_center_predicted_pd,star_leaf_observed_pd,star_leaf_predicted_pd,repetition
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4858881661557626,0.007333333333333333,0.1035,2.1389631597324934,0.3134844544022334,2.1104118211271348,1.1458731212852642,0.1430115606137187,-0.2099844544022334,-0.0395115606137187,0.9806949806949807,0.9875788582362991,0.04276931301790965,0.08453978031854405,0
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3908485201443748,0.011666666666666667,0.1,2.1389631597324934,0.3134844544022334,2.0433782435319467,1.1458731212852642,0.13894788476308884,-0.21348445440223338,-0.03894788476308883,0.9875518672199171,0.9875788582362991,0.04309656823623304,0.08453978031854405,1
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4820255599904635,0.012,0.10125,2.1389631597324934,0.3134844544022334,2.1141359087713116,1.1458731212852642,0.14323732038319814,-0.21223445440223337,-0.041987320383198135,0.9923076923076923,0.9875788582362991,0.0393048128342246,0.08453978031854405,2
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.569209176921026,0.009666666666666667,0.09725,2.1389631597324934,0.3134844544022334,2.0955154705504264,1.1458731212852642,0.14210852153580095,-0.21623445440223338,-0.044858521535800944,1.0,0.9875788582362992,0.03578104138851802,0.08453978031854406,3
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5966782268058295,0.011,0.09575,2.1389631597324934,0.3134844544022334,2.1551008728572603,1.1458731212852642,0.14572067784747197,-0.21773445440223338,-0.04997067784747197,0.985239852398524,0.9875788582362993,0.031107535532314292,0.08453978031854406,4
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5661852741096416,0.011,0.097,2.1389631597324934,0.3134844544022334,2.106687733482958,1.1458731212852642,0.14278580084423928,-0.21648445440223338,-0.04578580084423928,0.9883720930232558,0.987578858236299,0.035542490646712985,0.08453978031854405,5
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.591784771454442,0.008666666666666666,0.098,2.1389631597324934,0.3134844544022334,2.2072380998757395,1.1458731212852642,0.14888131462018414,-0.21548445440223338,-0.05088131462018414,0.9859649122807017,0.9875788582362993,0.02987886944818304,0.08453978031854406,6
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.483571450443042,0.011,0.101,2.1389631597324934,0.3134844544022334,2.1141359087713116,1.1458731212852642,0.14323732038319814,-0.21248445440223337,-0.042237320383198135,0.9846153846153847,0.9875788582362991,0.039572192513368985,0.08453978031854405,7
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5783610509804906,0.008333333333333333,0.1,2.1389631597324934,0.3134844544022334,2.1551008728572603,1.1458731212852642,0.14572067784747197,-0.21348445440223338,-0.04572067784747197,0.985239852398524,0.9875788582362993,0.0356663984982569,0.08453978031854406,8
star,15,0.15,0.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.61747317831185,0.007333333333333333,0.09975,2.1389631597324934,0.3134844544022334,2.166273135789791,1.1458731212852642,0.14639795715591028,-0.21373445440223338,-0.046647957155910275,0.9890510948905109,0.9875788582362991,0.03435319377348363,0.08453978031854405,9
