metric,value
old_R2,0.8305571955118736
local_R2,0.9645792227989457
old_MAE,0.0796734288436645
local_MAE,0.041952582598994564
old_RMSE,0.15788810699132427
local_RMSE,0.07218831344884143
old_bias,-0.05595842274073109
local_bias,-0.0035374671474936756
delta_R2,0.13402202728707213
delta_MAE,0.03772084624466994
delta_RMSE,0.08569979354248285
mean_PFA,0.010311689814814815
