graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,degree_std_mean,degree_std_ci95,degree_cv_mean,degree_cv_ci95,min_degree_mean,min_degree_ci95,max_degree_mean,max_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,observed_pd_mean,observed_pd_ci95,gesnr_mean_mean,gesnr_mean_ci95,predicted_pd_mean_mean,predicted_pd_mean_ci95,mean_local_gesnr_mean,mean_local_gesnr_ci95,median_local_gesnr_mean,median_local_gesnr_ci95,predicted_pd_local_mean,predicted_pd_local_ci95,residual_mean_mean,residual_mean_ci95,residual_local_mean,residual_local_ci95,star_center_observed_pd_mean,star_center_observed_pd_ci95,star_center_predicted_pd_mean,star_center_predicted_pd_ci95,star_leaf_observed_pd_mean,star_leaf_observed_pd_ci95,star_leaf_predicted_pd_mean,star_leaf_predicted_pd_ci95,local_abs_error,old_abs_error
barabasi_albert,15,0.15,0.75,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.8362215065439351,0.16654201990378273,0.5296792807338274,0.04804096727993731,1.9,0.13489645151589028,8.1,0.8031092211229003,52.0,0.0,284.9,9.959524782575564,0.8739783096163996,0.05579414240584189,9.572523295911616,0.7029028631155338,2.840368190474165,0.05876564919926344,0.010150000000000001,0.0008961502980667618,0.47885,0.027325097586381332,3.6384159599828627,0.05998766078942526,0.6395699709592646,0.010029882643141646,3.639840512054568,0.06514059546988316,2.9979256201466042,0.19141722820505863,0.5414372593918539,0.019476567626604328,-0.16071997095926455,0.01831517817612,-0.062587259391854,0.012946301979302554,,,,,,,,,0.06258725939185394,0.1607199709592646
barabasi_albert,15,0.15,1.25,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.9479505647711304,0.11109673766015075,0.561908816760903,0.03204713586350503,1.6,0.2202849828840144,8.05,0.577154362276451,52.0,0.0,290.1,7.146400433637534,0.8359435611176599,0.07136557542233173,9.504409396259373,0.47666888588871364,2.871738034426663,0.038178514213877884,0.009266666666666668,0.0011081354024556017,0.94905,0.009216182980868058,10.00489924314445,0.11495681048892278,0.9594488848917185,0.0012372098836834012,9.99640405841677,0.12940098505867265,7.662444072314573,0.6552858653843224,0.9056822760260494,0.0076019699840835725,-0.010398884891718512,0.008540146276371067,0.04336772397395066,0.003908710272101728,,,,,,,,,0.0433677239739505,0.010398884891718585
barabasi_albert,15,0.15,1.75,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.8606889311722685,0.14689721213071397,0.5367371916843082,0.04237419580693671,1.9,0.13489645151589028,8.05,0.6741074410694953,52.0,0.0,285.8,8.787962867947329,0.9121982574582514,0.04315719597043075,9.525065846844374,0.5583719620326382,2.850758973024786,0.04984473953561121,0.010233333333333334,0.0007313709629046786,0.9994125,0.000908588632237704,19.76872106455398,0.2888812264149222,0.992650442433413,0.00028989773812512207,19.792988693150157,0.3192637260610964,16.300481308881505,1.05876445477653,0.9828177720456498,0.0021676590784990278,0.006762057566587076,0.0007342418376499801,0.016594727954350335,0.0014397207868364062,,,,,,,,,0.01659472795435024,0.0067620575665869875
barabasi_albert,15,0.15,2.5,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.9490528214599816,0.1491892061292998,0.5622267754211486,0.04303534792191341,1.9,0.1348964515158903,8.2,0.6907728699758964,52.0,0.0,290.9,8.585817387443454,0.9000323893092324,0.06671322577106834,9.68637790638028,0.5746849997100165,2.8370307941261714,0.05584077504206547,0.011766666666666665,0.0012612620060690072,1.0,0.0,39.987588348335365,0.5908443404699748,0.9987826134985804,4.59379016344098e-05,39.929053359948185,0.6513275042489687,29.53781792987339,3.3733925498321646,0.9969875011135712,0.0003368996744350363,0.001217386501419593,4.59379016344098e-05,0.003012498886428833,0.0003368996744350363,,,,,,,,,0.0030124988864288493,0.0012173865014195595
barabasi_albert,15,0.25,0.75,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,2.077002826273422,0.19162620880274953,0.5991354306557948,0.05527679100079313,1.75,0.19470625648856144,8.9,0.827902358850048,52.0,0.0,299.7,13.15046306168882,0.8911910488158824,0.053414458209910635,10.291020568042269,0.7243844381780387,8.16028754029005,0.19925456877407652,0.009700000000000002,0.0011463014106144194,0.1162,0.007272793447246786,1.2785615743504002,0.02600780511032671,0.10919886184002806,0.004935664838710746,1.277982732699433,0.02764882259276476,0.9838613599117721,0.10911808164232609,0.13390758181296172,0.003941662648699691,0.007001138159971951,0.005541433148997175,-0.01770758181296172,0.005102636413636034,,,,,,,,,0.017707581812961726,0.0070011381599719424
barabasi_albert,15,0.25,1.25,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.8855964300847874,0.15143090004318596,0.5439220471398424,0.04368199039707287,1.85,0.16055889229418857,8.2,0.7052560565235564,52.0,0.0,287.3,8.867553676777284,0.9074516627438405,0.061005352849846414,9.63766233485698,0.6028013707767692,7.93809282666431,0.16447882372220388,0.009883333333333333,0.0010821599691498525,0.472175,0.027106838320557453,3.621623106254288,0.05380855611100436,0.6369714155535164,0.008955856253525523,3.637389650507316,0.0483425073224789,2.988620039726088,0.2554481243011917,0.5358548451858919,0.017282968030024333,-0.16479641555351637,0.019463650697770004,-0.06367984518589191,0.013790795369201289,,,,,,,,,0.06367984518589187,0.16479641555351643
barabasi_albert,15,0.25,1.75,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,2.090809193102871,0.11959393604104292,0.6031180364719819,0.03449825078107008,1.85,0.16055889229418857,8.8,0.4842930822071323,52.0,0.0,298.9,7.701971804947777,0.9384309954864432,0.05730937468366155,10.105315544610194,0.391193895545537,8.114097456384336,0.1449239886338858,0.010166666666666666,0.0009970447560736855,0.80375,0.022463679714503353,6.955875764764317,0.08765203279010292,0.9031592473969692,0.0028858507497111453,6.9412514157072165,0.10632985502676874,5.032938936420281,0.4910314053374037,0.8061771150454025,0.011066967111980516,-0.09940924739696907,0.02003332252114575,-0.002427115045402423,0.013364873734121733,,,,,,,,,0.002427115045402495,0.09940924739696921
barabasi_albert,15,0.25,2.5,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.9965982605064536,0.15302647247665366,0.5759418059153231,0.04414225167595778,1.8,0.1798619353545204,8.45,0.7587717221376857,52.0,0.0,293.8,9.214743152601761,0.9412695269993041,0.04973070748494005,9.933304178807298,0.6262758866229058,8.000481472968264,0.14622046131788408,0.010433333333333333,0.000998845696364658,0.99445,0.003949962464844979,14.32707420229747,0.22308811388010058,0.983388776220148,0.0006565428745253835,14.359981422184882,0.20945334034504803,11.184858284320955,0.9266219549149847,0.9599697818238526,0.004193505648281147,0.011061223779852164,0.0037064741028853855,0.03448021817614729,0.0022553965433763255,,,,,,,,,0.034480218176147326,0.01106122377985197
barabasi_albert,15,0.35,0.75,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.913922281001018,0.15519524207267757,0.5520929656733704,0.04476785829019545,1.6,0.2202849828840144,7.85,0.6242757487891994,52.0,0.0,289.0,9.365350697342333,0.8065945208331258,0.05959857180498697,9.379206855673363,0.5026365501879995,15.47175263032057,0.28671303693243755,0.010600000000000002,0.0006991775285106559,0.0528875,0.003441856481533431,0.6633566754711004,0.010368677586054894,0.022319483907099084,0.0008584728185934825,0.6626243077458168,0.010822752361570459,0.5295106618122986,0.06014102944074433,0.03418516332843183,0.0006522181851173871,0.030568016092900913,0.003305368650932222,0.01870233667156817,0.003685877444784187,,,,,,,,,0.01870233667156817,0.030568016092900913
barabasi_albert,15,0.35,1.25,26.0,0.0,3.4666666666666672,1.9968686188423001e-16,1.9462132608052236,0.13821029707002033,0.5614076713861222,0.03986835492404433,1.8,0.1798619353545204,8.25,0.6177642200540165,52.0,0.0,290.5,7.9316615369569385,0.8797821697944508,0.05435557605893874,9.65558131943372,0.5346881552627337,15.652363648156495,0.24134377699157672,0.010616666666666668,0.0011583643539958344,0.194775,0.009262910134395924,1.8370071741721261,0.025175948537934156,0.23628155635616724,0.006330955302391998,1.8352998720431883,0.026907404443890833,1.4602994767497248,0.11190000083294935,0.23743454605285486,0.008020599697611902,-0.04150655635616719,0.005581620577473873,-0.04265954605285488,0.005106264853474667,,,,,,,,,0.04265954605285485,0.041506556356167235
