graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,degree_std_mean,degree_std_ci95,degree_cv_mean,degree_cv_ci95,min_degree_mean,min_degree_ci95,max_degree_mean,max_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,observed_pd_mean,observed_pd_ci95,gesnr_mean_mean,gesnr_mean_ci95,predicted_pd_mean_mean,predicted_pd_mean_ci95,mean_local_gesnr_mean,mean_local_gesnr_ci95,median_local_gesnr_mean,median_local_gesnr_ci95,predicted_pd_local_mean,predicted_pd_local_ci95,residual_mean_mean,residual_mean_ci95,residual_local_mean,residual_local_ci95,star_center_observed_pd_mean,star_center_observed_pd_ci95,star_center_predicted_pd_mean,star_center_predicted_pd_ci95,star_leaf_observed_pd_mean,star_leaf_observed_pd_ci95,star_leaf_predicted_pd_mean,star_leaf_predicted_pd_ci95
star,15,0.15,0.75,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,2.5471568757187986,0.035310858703983955,0.010083333333333333,0.0006964006879151218,0.0982125,0.0020072301254006196,2.138963159732493,1.9968686188423001e-16,0.3134844544022333,2.4960857735528752e-17,2.1312667119345265,0.024647250991219016,1.145873121285264,9.984343094211501e-17,0.1442758153228036,0.0014941532621499326,-0.2152719544022334,0.00200723012540062,-0.04606331532280357,0.001982501655032153,0.987633909298798,0.0026265939160767314,0.9875788582362995,1.7930167878437328e-16,0.03519588723769536,0.00213460344890481,0.08453978031854407,8.934627366079953e-18
star,15,0.15,1.25,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,2.5070374022464788,0.04162357538481591,0.010916666666666667,0.0008289531903629212,0.29956249999999995,0.015486059552401519,5.941564332590259,3.9937372376846002e-16,0.8620415731918569,4.9921715471057503e-17,5.965701937691408,0.06727868641899695,3.182980892459068,3.9937372376846002e-16,0.5878873571446399,0.0007167736167478542,-0.5624790731918571,0.015486059552401525,-0.2883248571446399,0.01512352691736886,1.0,0.0,0.999081717301619,1.0822770012891408e-16,0.24912526667124965,0.015948329569460358,0.5582408058494837,4.1767503790641545e-17
star,15,0.15,1.75,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,2.5027803972836375,0.05260574239371511,0.010966666666666664,0.001473834764239432,0.9571,0.008689761531462427,11.645466091876905,7.9874744753692005e-16,0.9722295085819187,0.0,11.761712798044035,0.11055298715972557,6.238642549219772,3.9937372376846002e-16,0.8846565287497915,0.00016847781324325523,-0.015129508581918699,0.008689761531462427,0.07244347125020849,0.008660306136259788,1.0,0.0,0.9998359792116537,5.3535075669220876e-17,0.9539769083697603,0.009314276522514467,0.8762396164454105,5.3535075669220876e-17
star,15,0.15,2.5,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,2.558113177472697,0.04547818745301789,0.009600000000000001,0.0011292216850712208,1.0,0.0,23.766257330361036,1.5974948950738401e-15,0.9954240491140934,1.497651464131725e-16,23.701430619517957,0.23156256129336103,12.731923569836272,1.5974948950738401e-15,0.9792455402815893,3.105779484459507e-05,0.0045759508859062326,0.0,0.020754459718410646,3.105779484459506e-05,1.0,0.0,0.9999735991975607,1.2579876088376212e-16,1.0,0.0,0.9777742804302886,7.893316279570367e-17
star,15,0.25,0.75,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,6.905913824007818,0.13951206370615457,0.010750000000000001,0.0008941425374027246,0.05994999999999999,0.0020022898207591702,0.7700267375036974,4.9921715471057503e-17,0.03229204867771325,3.120107216941094e-18,0.7711439637969504,0.009103674122837987,0.412514323662695,2.4960857735528752e-17,0.06331024717902936,0.0014369462904135245,0.027657951322286756,0.0020022898207591702,-0.003360247179029353,0.002218066416749967,0.6389304817587306,0.01605710384224533,0.8531628302830653,8.574336209259004e-17,0.01843919338280757,0.0014963413067146426,0.006703263661191531,3.3776151405026904e-19
star,15,0.25,1.25,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,7.076464546899703,0.11638419820110103,0.01105,0.0010706811626468374,0.0980375,0.003693825379496238,2.1389631597324925,1.9968686188423001e-16,0.3134844544022332,2.4960857735528752e-17,2.151935398359709,0.03544867135339182,1.145873121285264,9.984343094211501e-17,0.14552878204341446,0.002148951538669403,-0.21544695440223327,0.0036938253794962382,-0.04749128204341444,0.0024671269236264466,0.9910644335951131,0.0025155332612017663,0.9875788582362995,1.7293389519373775e-16,0.033359820647817715,0.0026089530187825855,0.08453978031854407,7.383521290899366e-18
star,15,0.25,1.75,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,6.900997140651546,0.11661357630220472,0.010783333333333334,0.0011067914852459179,0.1698,0.007603073637473341,4.192367793075688,3.9937372376846002e-16,0.7189759566134465,0.0,4.187501651887295,0.033131593750301086,2.245911317719118,1.9968686188423001e-16,0.3846542318928151,0.0007452939362118675,-0.5491759566134464,0.007603073637473344,-0.21485423189281513,0.007683658845788514,1.0,0.0,0.9977601927223019,7.319960384102108e-17,0.11064944777644928,0.008268881032660163,0.34097823146950407,2.953408516359746e-17
star,15,0.25,2.5,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,7.085980809726125,0.12645034916203238,0.01035,0.0012571362517863986,0.644575,0.02640028490775291,8.55585263892997,7.9874744753692005e-16,0.9408175448610763,0.0,8.431219839104843,0.1279885207035714,4.583492485141056,3.9937372376846002e-16,0.7780441506455823,0.0005088403482135279,-0.29624254486107626,0.02640028490775291,-0.13346915064558235,0.026205523766271104,1.0,0.0,0.9996388512931345,4.735989767742219e-17,0.6201549705840759,0.027873166936285318,0.7627468496387504,3.157326511828147e-17
star,15,0.35,0.75,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,13.858320406921314,0.2718744345293477,0.01055,0.0015109971224636953,0.032087500000000005,0.0023454562203500937,0.39287078444066204,0.0,0.005920618787596175,3.9001340211763674e-19,0.39056793024436465,0.005751744941038545,0.21046649166464038,0.0,0.03463462043697109,0.0010676757397703024,0.026166881212403827,0.0023454562203500933,-0.0025471204369710886,0.0021089009737841062,0.30374557300508037,0.01950241087764063,0.5090888364547143,4.9921715471057503e-17,0.012886451464093712,0.0012156292016789238,0.001203037736333693,7.231042006829626e-20
star,15,0.35,1.25,14.0,0.0,1.8666666666666667,0.0,3.2427697352040807,3.9937372376846002e-16,1.737198072430758,0.0,1.0,0.0,14.0,0.0,28.0,0.0,238.0,0.0,0.9999999999999977,1.497651464131725e-16,15.000000000000004,7.9874744753692005e-16,13.696361393980222,0.28379370911387997,0.010616666666666667,0.0014370793236478424,0.07517500000000002,0.0021055000781162103,1.0913077345573943,9.984343094211501e-17,0.07535874285430524,6.240214433882188e-18,1.093841127512617,0.010515971713238844,0.58462914351289,0.0,0.07771800013062073,0.0012701271272780262,-0.00018374285430525772,0.0021055000781162107,-0.002543000130620731,0.0017695363692163807,0.822752633362333,0.012508968365557498,0.9341704175232944,8.2785799554189e-17,0.021504342876712275,0.0014891602090085195,0.016214986234255095,6.042061644797215e-19
