noise,fixed_tau,empirical_tau,gaussian_tau,fixed_pfa,empirical_pfa,gaussian_pfa,fixed_pd,empirical_pd,gaussian_pd,repetition
0.05,0.88080689542505,0.207865861014497,0.18702099069875322,0.0,0.011333333333333334,0.029,1.0,1.0,1.0,0
0.05,0.88080689542505,0.21746242708200575,0.19178794528216855,0.0,0.008,0.021333333333333333,1.0,1.0,1.0,1
0.05,0.88080689542505,0.20917279012562456,0.18811174210566237,0.0,0.014333333333333333,0.028,1.0,1.0,1.0,2
0.05,0.88080689542505,0.21068573653952727,0.19145592187582278,0.0,0.010666666666666666,0.02,1.0,1.0,1.0,3
0.05,0.88080689542505,0.21354295241936905,0.19147546291209255,0.0,0.009333333333333334,0.020666666666666667,1.0,1.0,1.0,4
0.05,0.88080689542505,0.22339281505275224,0.1929146515879996,0.0,0.004,0.024,1.0,1.0,1.0,5
0.05,0.88080689542505,0.21556224672531685,0.19022118504108634,0.0,0.012666666666666666,0.03166666666666667,1.0,1.0,1.0,6
0.05,0.88080689542505,0.21340330962651152,0.188296724002131,0.0,0.008333333333333333,0.020666666666666667,1.0,1.0,1.0,7
0.05,0.88080689542505,0.21518377686306533,0.19034393598388166,0.0,0.008,0.025,1.0,1.0,1.0,8
0.05,0.88080689542505,0.21224939777947227,0.1885180594348932,0.0,0.011,0.024333333333333332,1.0,1.0,1.0,9
0.05,0.88080689542505,0.20947085202952212,0.19072387316529668,0.0,0.011666666666666667,0.021,1.0,1.0,1.0,10
0.05,0.88080689542505,0.2131246673062162,0.18975119499115156,0.0,0.010666666666666666,0.023333333333333334,1.0,1.0,1.0,11
0.05,0.88080689542505,0.20691623767593123,0.18899913163242327,0.0,0.014,0.02266666666666667,1.0,1.0,1.0,12
0.05,0.88080689542505,0.20888066675487163,0.1889211171808159,0.0,0.008333333333333333,0.021333333333333333,1.0,1.0,1.0,13
0.05,0.88080689542505,0.22099071959667976,0.19413927838094575,0.0,0.006666666666666667,0.024,1.0,1.0,1.0,14
0.05,0.88080689542505,0.209901172365439,0.1890642344431159,0.0,0.008666666666666666,0.022333333333333334,1.0,1.0,1.0,15
0.05,0.88080689542505,0.21356581410618228,0.18993331595552151,0.0,0.012333333333333333,0.025,1.0,1.0,1.0,16
0.05,0.88080689542505,0.20946670592315766,0.18948079268006918,0.0,0.010333333333333333,0.025,1.0,1.0,1.0,17
0.05,0.88080689542505,0.20041816006094854,0.18640157973741645,0.0,0.013333333333333334,0.026333333333333334,1.0,1.0,1.0,18
0.05,0.88080689542505,0.2133551934597384,0.19041949128335942,0.0,0.009333333333333334,0.02,1.0,1.0,1.0,19
0.05,0.88080689542505,0.21684556662637852,0.19299609898213171,0.0,0.008333333333333333,0.019333333333333334,1.0,1.0,1.0,20
0.05,0.88080689542505,0.20584351396488865,0.18718210896912085,0.0,0.012333333333333333,0.028,1.0,1.0,1.0,21
0.05,0.88080689542505,0.21565761085486007,0.19084778516687045,0.0,0.013,0.025333333333333333,1.0,1.0,1.0,22
0.05,0.88080689542505,0.2109954590381532,0.18802519471108287,0.0,0.014,0.02666666666666667,1.0,1.0,1.0,23
0.05,0.88080689542505,0.21891648908178832,0.19036012319834675,0.0,0.006,0.022333333333333334,1.0,1.0,1.0,24
0.05,0.88080689542505,0.2157087902488643,0.19311423612867495,0.0,0.007,0.019666666666666666,1.0,1.0,1.0,25
0.05,0.88080689542505,0.2073850381758623,0.18795179872676146,0.0,0.011333333333333334,0.025666666666666667,1.0,1.0,1.0,26
0.05,0.88080689542505,0.2177869243367951,0.19284800673493163,0.0,0.007,0.02,1.0,1.0,1.0,27
0.05,0.88080689542505,0.20344557290732856,0.18869094412030157,0.0,0.013,0.023666666666666666,1.0,1.0,1.0,28
0.05,0.88080689542505,0.2055891909570882,0.1876901158720795,0.0,0.014333333333333333,0.027,1.0,1.0,1.0,29
0.1,0.88080689542505,0.8643279860415755,0.7638504439818593,0.007666666666666666,0.008333333333333333,0.028333333333333332,1.0,1.0,1.0,0
0.1,0.88080689542505,0.839350631959811,0.7585925224664198,0.005666666666666667,0.010666666666666666,0.025,1.0,1.0,1.0,1
0.1,0.88080689542505,0.8748007813609708,0.7571030832310914,0.009333333333333334,0.009666666666666667,0.025333333333333333,1.0,1.0,1.0,2
0.1,0.88080689542505,0.8317275427947203,0.7425347826857376,0.008666666666666666,0.013666666666666667,0.032,1.0,1.0,1.0,3
0.1,0.88080689542505,0.8541638126339847,0.7568263423360837,0.009,0.012666666666666666,0.028,1.0,1.0,1.0,4
0.1,0.88080689542505,0.838758759838506,0.7577076345990733,0.011333333333333334,0.017,0.035333333333333335,1.0,1.0,1.0,5
0.1,0.88080689542505,0.8598689026892268,0.7566479588217088,0.007,0.010666666666666666,0.023333333333333334,1.0,1.0,1.0,6
0.1,0.88080689542505,0.8754302055212227,0.769045515969074,0.006666666666666667,0.007666666666666666,0.02266666666666667,1.0,1.0,1.0,7
0.1,0.88080689542505,0.8599090116305853,0.7547321174442492,0.009,0.011,0.023666666666666666,1.0,1.0,1.0,8
0.1,0.88080689542505,0.8550621725224181,0.7661482738450193,0.011333333333333334,0.014,0.03166666666666667,1.0,1.0,1.0,9
0.1,0.88080689542505,0.8711810669952549,0.7694869769816768,0.006666666666666667,0.007333333333333333,0.025,1.0,1.0,1.0,10
0.1,0.88080689542505,0.852557382043509,0.7478475102661042,0.009333333333333334,0.012,0.030333333333333334,1.0,1.0,1.0,11
0.1,0.88080689542505,0.8338427543023658,0.7509775778388283,0.007333333333333333,0.011666666666666667,0.025666666666666667,1.0,1.0,1.0,12
0.1,0.88080689542505,0.8548309251278333,0.7631494936259052,0.009,0.012,0.025,1.0,1.0,1.0,13
0.1,0.88080689542505,0.8715821739157429,0.7632668438406313,0.006,0.006,0.02666666666666667,1.0,1.0,1.0,14
0.1,0.88080689542505,0.8599893089391419,0.7560709772931935,0.006333333333333333,0.008333333333333333,0.03,1.0,1.0,1.0,15
0.1,0.88080689542505,0.8700253679456262,0.7642674220734484,0.008333333333333333,0.009,0.024333333333333332,1.0,1.0,1.0,16
0.1,0.88080689542505,0.841370688006635,0.7665181330881976,0.01,0.014333333333333333,0.025666666666666667,1.0,1.0,1.0,17
0.1,0.88080689542505,0.8243215033962914,0.747587567633121,0.006,0.013,0.028333333333333332,1.0,1.0,1.0,18
0.1,0.88080689542505,0.8486995524413593,0.7564940207576367,0.008333333333333333,0.010666666666666666,0.027,1.0,1.0,1.0,19
0.1,0.88080689542505,0.8640388163821083,0.7536893025406812,0.005333333333333333,0.006,0.023666666666666666,1.0,1.0,1.0,20
0.1,0.88080689542505,0.835637801666025,0.7599686083306456,0.009666666666666667,0.012,0.027,1.0,1.0,1.0,21
0.1,0.88080689542505,0.8688661813481566,0.7670611317667266,0.007,0.007333333333333333,0.017,1.0,1.0,1.0,22
0.1,0.88080689542505,0.8503555740352895,0.7712226070224861,0.007,0.010333333333333333,0.025333333333333333,1.0,1.0,1.0,23
0.1,0.88080689542505,0.8546837923806982,0.7590113165968899,0.009333333333333334,0.011,0.028,1.0,1.0,1.0,24
0.1,0.88080689542505,0.8350582488580286,0.7532055795735537,0.007,0.013,0.03233333333333333,1.0,1.0,1.0,25
0.1,0.88080689542505,0.8471480484146116,0.7652478254849675,0.011666666666666667,0.014333333333333333,0.027,1.0,1.0,1.0,26
0.1,0.88080689542505,0.8409652550994815,0.7545434328378728,0.011666666666666667,0.016666666666666666,0.033666666666666664,1.0,1.0,1.0,27
0.1,0.88080689542505,0.8905126049997111,0.7682396517326279,0.005,0.0033333333333333335,0.019333333333333334,1.0,1.0,1.0,28
0.1,0.88080689542505,0.8459535221109564,0.7562920944573527,0.005,0.008333333333333333,0.026333333333333334,1.0,1.0,1.0,29
0.15,0.88080689542505,1.9781557023196696,1.72195980961943,0.47333333333333333,0.007,0.021333333333333333,1.0,1.0,1.0,0
0.15,0.88080689542505,1.9332073821707199,1.7383014420803877,0.478,0.008333333333333333,0.021333333333333333,1.0,1.0,1.0,1
0.15,0.88080689542505,1.955598720847169,1.720613146845678,0.44766666666666666,0.007666666666666666,0.024333333333333332,1.0,0.9996666666666667,1.0,2
0.15,0.88080689542505,1.866592527768633,1.698714308271152,0.45066666666666666,0.011666666666666667,0.02666666666666667,1.0,1.0,1.0,3
