method,R2,MAE,RMSE,bias,max_abs_error
general_spectral_empirical_tau,0.9999611040607205,0.0016215522452570487,0.0024653388872873656,-0.00027965829423097976,0.011069034702874458
general_fully_spectral,0.9999624643819375,0.0015959107166331973,0.0024247270333427238,-0.0002356237400348349,0.00979864203623515
