graph_type,weight_mode,n,noise_model,sigma,amplitude,repetition,mean_degree,degree_cv,trace_L,trace_L2,lambda2_L,lambda_max_L,mean_variance,variance_cv,mean_abs_correlation,sigma_condition_number,theoretical_mean_q,spectral_mean_q,mean_q_relative_difference,theoretical_var_q,spectral_var_q,var_q_relative_difference,tau_empirical,tau_spectral,tau_relative_error,pfa_mc_emp_tau,pfa_mc_spec_tau,pfa_theory_emp_tau,pfa_theory_spec_tau,pd_mc_emp_tau,pd_theory_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_theory_spec_tau,pd_error_spec_tau,max_abs_constant_shift,mean_abs_constant_shift,mean_max_noncentrality
star,unweighted,15,iid,0.15,1.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.5998232215681156,2.5436380433150267,-0.021611153322647875,0.0106,0.0118,0.00910816155421823,0.010000000007983678,0.1376,0.1368160427853974,0.0007839572146025875,0.144,0.143291345448595,0.0007086545514049802,0.0,0.0,23.91964827818338
star,unweighted,15,iid,0.15,1.75,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.5998232215681156,2.5436380433150267,-0.021611153322647875,0.0106,0.0118,0.00910816155421823,0.010000000007983678,0.948,0.9426574857457991,0.0053425142542008475,0.9584,0.953889206604521,0.004510793395478996,0.0,0.0,73.2539228519366
star,unweighted,15,iid,0.15,3.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.5998232215681156,2.5436380433150267,-0.021611153322647875,0.0106,0.0118,0.00910816155421823,0.010000000007983678,1.0,0.9999999999999988,1.2212453270876722e-15,1.0,0.9999999999999997,3.3306690738754696e-16,0.0,0.0,215.2768345036504
star,unweighted,15,iid,0.15,1.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.52834078791218,2.5436380433150267,0.0060503138959676125,0.0106,0.0104,0.010257990969043729,0.010000000007983678,0.1516,0.1451657211659581,0.006434278834041907,0.1492,0.143291345448595,0.00590865455140499,0.0,0.0,23.91964827818338
star,unweighted,15,iid,0.15,1.75,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.52834078791218,2.5436380433150267,0.0060503138959676125,0.0106,0.0104,0.010257990969043729,0.010000000007983678,0.9568,0.9566509212490614,0.00014907875093861378,0.954,0.953889206604521,0.0001107933954789253,0.0,0.0,73.2539228519366
star,unweighted,15,iid,0.15,3.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.52834078791218,2.5436380433150267,0.0060503138959676125,0.0106,0.0104,0.010257990969043729,0.010000000007983678,1.0,0.9999999999999996,4.440892098500626e-16,1.0,0.9999999999999997,3.3306690738754696e-16,0.0,0.0,215.2768345036504
star,unweighted,15,iid,0.15,1.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.4788190636493694,2.5436380433150267,0.02614913715010302,0.0136,0.0116,0.011140980542236167,0.010000000007983678,0.1466,0.15158839109720354,-0.004988391097203532,0.1378,0.143291345448595,-0.005491345448595003,0.0,0.0,23.91964827818338
star,unweighted,15,iid,0.15,1.75,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.4788190636493694,2.5436380433150267,0.02614913715010302,0.0136,0.0116,0.011140980542236167,0.010000000007983678,0.9678,0.9647653886861687,0.0030346113138313147,0.9552,0.953889206604521,0.0013107933954790152,0.0,0.0,73.2539228519366
star,unweighted,15,iid,0.15,3.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000003,1.541976423090495e-16,0.0,1.0,0.6299999999999999,0.6299999999999999,0.0,0.240975,0.24097500000000002,1.1518031171544314e-16,2.4788190636493694,2.5436380433150267,0.02614913715010302,0.0136,0.0116,0.011140980542236167,0.010000000007983678,1.0,0.9999999999999998,2.220446049250313e-16,1.0,0.9999999999999997,3.3306690738754696e-16,0.0,0.0,215.2768345036504
star,unweighted,15,iid,0.3,1.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,9.977997111344713,10.174550969491714,0.019698728708141627,0.0118,0.0106,0.010853256014843604,0.010000000006320953,0.0732,0.06793257314242775,0.005267426857572255,0.0712,0.06593877576560121,0.005261224234398787,0.0,0.0,5.979912069545845
