graph_type,weight_mode,n,noise_model,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_mc_emp_mean,pfa_mc_spec_mean,pfa_theory_emp_mean,pfa_theory_spec_mean,pd_mc_emp_mean,pd_theory_emp_mean,pd_mc_spec_mean,pd_theory_spec_mean,variance_cv_mean,mean_abs_correlation_mean,sigma_condition_number_mean,max_abs_constant_shift
barabasi_albert,unweighted,15,correlated,0.15,1.0,2.8450816195724364,2.8795505275099784,0.012077340370390696,0.009866666666666668,0.009066666666666667,0.010935674151788144,0.010000000002763207,0.9543333333333334,0.9562905719373941,0.9506,0.9529173642492461,0.03824913428189799,0.12159671478742295,5.384444056015048,0.0
barabasi_albert,unweighted,15,correlated,0.15,1.75,2.8450816195724364,2.8795505275099784,0.012077340370390696,0.009866666666666668,0.009066666666666667,0.010935674151788144,0.010000000002763207,1.0,0.999999977435338,1.0,0.9999999707546524,0.03824913428189799,0.12159671478742295,5.384444056015048,0.0
barabasi_albert,unweighted,15,correlated,0.15,3.0,2.8450816195724364,2.8795505275099784,0.012077340370390696,0.009866666666666668,0.009066666666666667,0.010935674151788144,0.010000000002763207,1.0,0.9999999999998072,1.0,0.9999999999998206,0.03824913428189799,0.12159671478742295,5.384444056015048,0.0
barabasi_albert,unweighted,15,correlated,0.3,1.0,11.61990972875961,11.848547281629576,0.019505882084660718,0.0106,0.009133333333333334,0.011515056918620944,0.010000000025494745,0.2743333333333333,0.27393022612143364,0.2622,0.2607120876800563,0.04621514341188723,0.12010591263863817,5.344739281966848,0.0
barabasi_albert,unweighted,15,correlated,0.3,1.75,11.61990972875961,11.848547281629576,0.019505882084660718,0.0106,0.009133333333333334,0.011515056918620944,0.010000000025494745,0.8381333333333334,0.8376901417912026,0.8259333333333334,0.8252380736251118,0.04621514341188723,0.12010591263863817,5.344739281966848,0.0
barabasi_albert,unweighted,15,correlated,0.3,3.0,11.61990972875961,11.848547281629576,0.019505882084660718,0.0106,0.009133333333333334,0.011515056918620944,0.010000000025494745,0.9910666666666667,0.9902482013007995,0.9897333333333332,0.9883422575840846,0.04621514341188723,0.12010591263863817,5.344739281966848,0.0
barabasi_albert,unweighted,15,heteroscedastic,0.15,1.0,3.6301957261970443,3.645527418771483,0.004060489768995898,0.0088,0.008666666666666666,0.010300812672347281,0.010000000034489975,0.8326666666666668,0.8343253703992245,0.8295333333333333,0.8317925030711982,0.46819366839553894,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,15,heteroscedastic,0.15,1.75,3.6301957261970443,3.645527418771483,0.004060489768995898,0.0088,0.008666666666666666,0.010300812672347281,0.010000000034489975,0.993,0.9921489814240658,0.9926666666666666,0.9920486727323835,0.46819366839553894,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,15,heteroscedastic,0.15,3.0,3.6301957261970443,3.645527418771483,0.004060489768995898,0.0088,0.008666666666666666,0.010300812672347281,0.010000000034489975,1.0,0.9999999999651369,1.0,0.9999999999679572,0.46819366839553894,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,15,heteroscedastic,0.3,1.0,16.10610779983576,15.766209807378019,-0.020027098079358704,0.0088,0.010666666666666666,0.008759895625028028,0.009999999966976017,0.14980000000000002,0.14986906960842436,0.15953333333333333,0.16047036584512928,0.46819366839553894,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,15,heteroscedastic,0.3,1.75,16.10610779983576,15.766209807378019,-0.020027098079358704,0.0088,0.010666666666666666,0.008759895625028028,0.009999999966976017,0.6683333333333333,0.6671326014441427,0.6870666666666666,0.6859218219778193,0.46819366839553894,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,15,heteroscedastic,0.3,3.0,16.10610779983576,15.766209807378019,-0.020027098079358704,0.0088,0.010666666666666666,0.008759895625028028,0.009999999966976017,0.9832666666666666,0.9835811208734975,0.9842,0.9843342637174585,0.46819366839553894,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,15,iid,0.15,1.0,3.6780549367314213,3.7169322776192364,0.01111199242228416,0.0106,0.009866666666666668,0.010966350979897121,0.010000000023328626,0.8884666666666666,0.8852259919949871,0.8840666666666667,0.8811827116854994,1.541976423090495e-16,0.0,1.0,0.0
barabasi_albert,unweighted,15,iid,0.15,1.75,3.6780549367314213,3.7169322776192364,0.01111199242228416,0.0106,0.009866666666666668,0.010966350979897121,0.010000000023328626,0.9957333333333334,0.9951100420486866,0.9960666666666667,0.9953556713816835,1.541976423090495e-16,0.0,1.0,0.0
barabasi_albert,unweighted,15,iid,0.15,3.0,3.6780549367314213,3.7169322776192364,0.01111199242228416,0.0106,0.009866666666666668,0.010966350979897121,0.010000000023328626,1.0,0.9999999999996296,1.0,0.9999999999995799,1.541976423090495e-16,0.0,1.0,0.0
