noise_model,R2,MAE,RMSE,bias,max_abs_error
iid,0.9999534000097587,0.0017356606998786383,0.002700949881193442,5.453095425436981e-06,0.00979864203623515
heteroscedastic,0.9999669495113073,0.0015277107750687438,0.0022282341981131174,-0.0004044148005085203,0.008100505137086711
correlated,0.9999670026402206,0.0015243606749522091,0.0023189966917417848,-0.00030790951502142127,0.0077290648345679225
