graph_type,R2,MAE,RMSE,bias,max_abs_error
star,0.9999664298657264,0.0015401138193602633,0.0020424476458659013,-1.035140482266588e-05,0.005688961981878321
random_geometric,0.9999305686092239,0.001630601667072183,0.0025782689149986813,-0.0005975600956912687,0.008100505137086711
barabasi_albert,0.9999396727902434,0.0016170166634671443,0.0026112909785233397,-9.895971959056999e-05,0.00979864203623515
