graph_type,R2,MAE,RMSE,bias,mean_pfa
star,-0.22097837376829998,0.19482261636782122,0.29838375612177614,-0.1809082051148622,0.01034043209876543
erdos_renyi,0.9889216323589654,0.027700443840544247,0.0371919359889238,-0.011481742133316946,0.010278395061728394
watts_strogatz,0.9896149932319,0.031827186421241854,0.03763287647296399,0.018320723523578678,0.010345370370370371
barabasi_albert,0.9308505567040569,0.06649196140958775,0.09416306967899786,-0.05209606880880883,0.01030493827160494
