graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,actual_anomaly_degree,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr,predicted_pd,residual,repetition
star,15,0.15,0.75,14,1.8666666666666667,1.8623333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4816632382060066,0.009666666666666667,0.09766666666666667,2.1389631597324934,0.3134844544022334,-0.2158177877355667,0
star,15,0.15,0.75,14,1.8666666666666667,1.8406666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5453460602020392,0.011,0.09533333333333334,2.1389631597324934,0.3134844544022334,-0.21815112106890006,1
star,15,0.15,0.75,14,1.8666666666666667,1.871,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4090118594899086,0.014333333333333333,0.11,2.1389631597324934,0.3134844544022334,-0.2034844544022334,2
star,15,0.15,0.75,14,1.8666666666666667,1.9316666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.631421154765156,0.007333333333333333,0.09866666666666667,2.1389631597324934,0.3134844544022334,-0.2148177877355667,3
star,15,0.15,0.75,14,1.8666666666666667,1.923,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4588359127114185,0.01,0.10566666666666667,2.1389631597324934,0.3134844544022334,-0.2078177877355667,4
star,15,0.15,0.75,14,1.8666666666666667,1.9316666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6717207233093556,0.007333333333333333,0.10166666666666667,2.1389631597324934,0.3134844544022334,-0.2118177877355667,5
star,15,0.15,0.75,14,1.8666666666666667,1.8753333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.434077342975639,0.010333333333333333,0.10333333333333333,2.1389631597324934,0.3134844544022334,-0.21015112106890005,6
star,15,0.15,0.75,14,1.8666666666666667,1.8146666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5233828705521244,0.008666666666666666,0.09933333333333333,2.1389631597324934,0.3134844544022334,-0.21415112106890005,7
star,15,0.15,0.75,14,1.8666666666666667,1.8146666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4678576139683925,0.011,0.10066666666666667,2.1389631597324934,0.3134844544022334,-0.2128177877355667,8
star,15,0.15,0.75,14,1.8666666666666667,1.8146666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.48075562731801,0.012333333333333333,0.104,2.1389631597324934,0.3134844544022334,-0.2094844544022334,9
star,15,0.15,0.75,14,1.8666666666666667,1.8493333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4473583224352318,0.011666666666666667,0.106,2.1389631597324934,0.3134844544022334,-0.2074844544022334,10
star,15,0.15,0.75,14,1.8666666666666667,1.806,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5292836505019674,0.008,0.09566666666666666,2.1389631597324934,0.3134844544022334,-0.2178177877355667,11
star,15,0.15,0.75,14,1.8666666666666667,1.7713333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5203764142327625,0.008,0.092,2.1389631597324934,0.3134844544022334,-0.22148445440223338,12
star,15,0.15,0.75,14,1.8666666666666667,1.9923333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.454078432555417,0.009333333333333334,0.11666666666666667,2.1389631597324934,0.3134844544022334,-0.1968177877355667,13
star,15,0.15,0.75,14,1.8666666666666667,1.8796666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4334680768806667,0.013,0.11166666666666666,2.1389631597324934,0.3134844544022334,-0.20181778773556672,14
star,15,0.15,0.75,14,1.8666666666666667,1.8146666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.599082736064017,0.009333333333333334,0.091,2.1389631597324934,0.3134844544022334,-0.22248445440223338,15
star,15,0.15,0.75,14,1.8666666666666667,1.806,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.439414722468271,0.011666666666666667,0.10133333333333333,2.1389631597324934,0.3134844544022334,-0.21215112106890005,16
star,15,0.15,0.75,14,1.8666666666666667,1.8103333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.547832668732822,0.011333333333333334,0.09333333333333334,2.1389631597324934,0.3134844544022334,-0.22015112106890006,17
star,15,0.15,0.75,14,1.8666666666666667,1.9056666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5756534155887776,0.008666666666666666,0.098,2.1389631597324934,0.3134844544022334,-0.21548445440223338,18
star,15,0.15,0.75,14,1.8666666666666667,1.9056666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.741133889728756,0.006,0.09,2.1389631597324934,0.3134844544022334,-0.22348445440223338,19
star,15,0.15,0.75,14,1.8666666666666667,1.9446666666666668,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5213509221368087,0.011,0.107,2.1389631597324934,0.3134844544022334,-0.2064844544022334,20
star,15,0.15,0.75,14,1.8666666666666667,1.91,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.44898141594571,0.012,0.104,2.1389631597324934,0.3134844544022334,-0.2094844544022334,21
star,15,0.15,0.75,14,1.8666666666666667,1.884,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4908839037075587,0.012,0.09933333333333333,2.1389631597324934,0.3134844544022334,-0.21415112106890005,22
star,15,0.15,0.75,14,1.8666666666666667,1.884,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.549276235624268,0.008666666666666666,0.099,2.1389631597324934,0.3134844544022334,-0.21448445440223338,23
star,15,0.15,0.75,14,1.8666666666666667,1.9186666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3494308882540977,0.008666666666666666,0.117,2.1389631597324934,0.3134844544022334,-0.1964844544022334,24
star,15,0.15,0.75,14,1.8666666666666667,1.8363333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5241982706390322,0.011333333333333334,0.10233333333333333,2.1389631597324934,0.3134844544022334,-0.21115112106890005,25
star,15,0.15,0.75,14,1.8666666666666667,1.9793333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4492413681654455,0.012,0.11433333333333333,2.1389631597324934,0.3134844544022334,-0.19915112106890004,26
star,15,0.15,0.75,14,1.8666666666666667,1.9316666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5367657911259305,0.009333333333333334,0.10533333333333333,2.1389631597324934,0.3134844544022334,-0.20815112106890005,27
star,15,0.15,0.75,14,1.8666666666666667,1.7886666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.658128216291176,0.01,0.09033333333333333,2.1389631597324934,0.3134844544022334,-0.22315112106890006,28
star,15,0.15,0.75,14,1.8666666666666667,1.793,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4112234665432357,0.012666666666666666,0.10233333333333333,2.1389631597324934,0.3134844544022334,-0.21115112106890005,29
star,15,0.15,1.25,14,1.8666666666666667,1.9576666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3877250809943646,0.013333333333333334,0.35,5.941564332590258,0.862041573191857,-0.5120415731918571,0
star,15,0.15,1.25,14,1.8666666666666667,1.9186666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.7221629922347144,0.006666666666666667,0.231,5.941564332590258,0.862041573191857,-0.631041573191857,1
star,15,0.15,1.25,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.839146162382583,0.004,0.204,5.941564332590258,0.862041573191857,-0.6580415731918571,2
star,15,0.15,1.25,14,1.8666666666666667,1.845,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6982676866958353,0.008333333333333333,0.23066666666666666,5.941564332590258,0.862041573191857,-0.6313749065251903,3
star,15,0.15,1.25,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.7164906810093394,0.006666666666666667,0.21833333333333332,5.941564332590258,0.862041573191857,-0.6437082398585237,4
star,15,0.15,1.25,14,1.8666666666666667,1.923,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.696437954165172,0.009333333333333334,0.23533333333333334,5.941564332590258,0.862041573191857,-0.6267082398585238,5
star,15,0.15,1.25,14,1.8666666666666667,1.9533333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5716327271255355,0.007333333333333333,0.27,5.941564332590258,0.862041573191857,-0.592041573191857,6
star,15,0.15,1.25,14,1.8666666666666667,1.8493333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6297989191839997,0.009333333333333334,0.26566666666666666,5.941564332590258,0.862041573191857,-0.5963749065251904,7
star,15,0.15,1.25,14,1.8666666666666667,1.9143333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6099940788756655,0.008333333333333333,0.2683333333333333,5.941564332590258,0.862041573191857,-0.5937082398585237,8
star,15,0.15,1.25,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4370645565331883,0.011333333333333334,0.3353333333333333,5.941564332590258,0.862041573191857,-0.5267082398585237,9
star,15,0.15,1.25,14,1.8666666666666667,2.014,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5705281670594444,0.008333333333333333,0.286,5.941564332590258,0.862041573191857,-0.5760415731918571,10
star,15,0.15,1.25,14,1.8666666666666667,1.793,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5033478286236557,0.01,0.2916666666666667,5.941564332590258,0.862041573191857,-0.5703749065251904,11
star,15,0.15,1.25,14,1.8666666666666667,1.8406666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.621534014252894,0.007666666666666666,0.25966666666666666,5.941564332590258,0.862041573191857,-0.6023749065251904,12
star,15,0.15,1.25,14,1.8666666666666667,1.8926666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.270506194165547,0.016666666666666666,0.39766666666666667,5.941564332590258,0.862041573191857,-0.46437490652519037,13
star,15,0.15,1.25,14,1.8666666666666667,1.975,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.561037764192957,0.008666666666666666,0.2866666666666667,5.941564332590258,0.862041573191857,-0.5753749065251903,14
star,15,0.15,1.25,14,1.8666666666666667,1.884,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5391655608672936,0.014,0.26866666666666666,5.941564332590258,0.862041573191857,-0.5933749065251903,15
star,15,0.15,1.25,14,1.8666666666666667,1.8536666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.2944196092003404,0.012666666666666666,0.39966666666666667,5.941564332590258,0.862041573191857,-0.46237490652519037,16
star,15,0.15,1.25,14,1.8666666666666667,1.9663333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.434984982600612,0.013666666666666667,0.32566666666666666,5.941564332590258,0.862041573191857,-0.5363749065251904,17
star,15,0.15,1.25,14,1.8666666666666667,1.793,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.547925874824672,0.009666666666666667,0.27366666666666667,5.941564332590258,0.862041573191857,-0.5883749065251904,18
star,15,0.15,1.25,14,1.8666666666666667,1.8103333333333333,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.7594875110165953,0.008333333333333333,0.21366666666666667,5.941564332590258,0.862041573191857,-0.6483749065251904,19
star,15,0.15,1.25,14,1.8666666666666667,1.845,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4351232145210293,0.011666666666666667,0.33366666666666667,5.941564332590258,0.862041573191857,-0.5283749065251904,20
star,15,0.15,1.25,14,1.8666666666666667,1.949,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.540830431798644,0.010333333333333333,0.2896666666666667,5.941564332590258,0.862041573191857,-0.5723749065251904,21
