metric,value
frozen_a,2.560786
frozen_b,-2.730899
R2_test,0.8290443290732306
MAE_test,0.08021055200979878
RMSE_test,0.15866554690838286
mean_bias,-0.05654132313335233
mean_PFA,0.010317283950617283
min_PFA,0.008777777777777777
max_PFA,0.011533333333333333
