graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,actual_anomaly_degree_mean,actual_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,gesnr_mean,gesnr_ci95,observed_pd_mean,observed_pd_ci95,predicted_pd_mean,predicted_pd_ci95,residual_mean,residual_ci95
barabasi_albert,15,0.15,0.75,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.471744444444445,0.016201221714912985,52.0,0.0,294.8666666666667,7.036657182676544,0.8965255925693127,0.051542619690463816,9.89153302597567,0.42538406356199965,2.8858509794126634,0.04533094806057358,0.010388888888888888,0.0008317837137413163,3.5746315675098796,0.04305413911595802,0.45083333333333336,0.02233878111173727,0.629218326225639,0.007146958131946989,-0.17838499289230578,0.016430248452132493
barabasi_albert,15,0.15,1.25,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.460777777777778,0.016280058608137016,52.0,0.0,290.73333333333335,7.13833360465459,0.8749548102625984,0.05501852243835348,9.759941071871253,0.4631565301768895,2.864912035112827,0.034582972858103106,0.010366666666666665,0.0008430715235789499,9.999996229157823,0.11872309593481369,0.9563,0.007806972770974885,0.9593331959283885,0.001231493007989507,-0.0030331959283885768,0.007095936167881116
barabasi_albert,15,0.15,1.75,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.4575444444444443,0.011895950393015529,52.0,0.0,293.53333333333336,6.991329864341308,0.8617601314832175,0.03786036421950121,10.034791292202007,0.45926083395698053,2.877378149304398,0.033530992514564,0.010588888888888889,0.0007092752211189366,19.504298488634742,0.22368859676960917,0.9993555555555554,0.00048115481914137774,0.9923972688464145,0.00023165329149099357,0.006958286709140981,0.0004969027114097319
barabasi_albert,15,0.15,2.5,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.4643888888888887,0.01563939831649547,52.0,0.0,297.8,9.181391555562355,0.8796040565636866,0.033026840269450505,10.267342703007195,0.5248792825459727,2.885261333612267,0.049824089782628124,0.011022222222222221,0.000870885794615267,39.555763791969895,0.5673791625567877,1.0,0.0,0.9987449690286117,5.016978042298096e-05,0.0012550309713884303,5.016978042298096e-05
barabasi_albert,15,0.25,0.75,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.4680777777777774,0.013014094611916004,52.0,0.0,291.06666666666666,6.1701695226871465,0.862486462088983,0.04531967577392315,9.80831970419192,0.3872524088690372,7.974899426187841,0.09360636199745812,0.01008888888888889,0.0007710856312108631,1.2947278927282648,0.013341678470078614,0.12295555555555557,0.004408558574327668,0.11220359776244951,0.002604214515895719,0.010751957793106077,0.003839628873332544
barabasi_albert,15,0.25,1.25,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.4705999999999997,0.012524506884703319,52.0,0.0,290.0,5.460251688864454,0.8817223421685856,0.043390599642445814,9.757925950990138,0.40112536332895427,7.938199285391497,0.09934253128175125,0.010311111111111111,0.0011158596950732534,3.6021878897283255,0.03339733964821763,0.46107777777777775,0.015295895320761279,0.6340079747318339,0.005549991273527877,-0.17293019695405612,0.011249076523615382
barabasi_albert,15,0.25,1.75,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.4635666666666665,0.013067423234802101,52.0,0.0,293.1333333333333,7.879737607705191,0.8201575595556505,0.041241976451908656,9.811214328099792,0.4592865406187915,8.013858517963913,0.10877197507069594,0.010044444444444444,0.0008226797277435413,7.029835529554721,0.09418052452766545,0.8148444444444445,0.018738222890159868,0.9053132371472857,0.002948896492203885,-0.09046879270284118,0.01614980487757552
barabasi_albert,15,0.25,2.5,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.467633333333333,0.011345394841175464,52.0,0.0,294.4,7.140601372015034,0.8929602206928907,0.04945802050599113,9.874521113827027,0.4193304160684318,8.020597283098331,0.12491784211706766,0.010755555555555555,0.001049237282226782,14.309255863147358,0.16642355060307823,0.9926999999999998,0.00367442296874716,0.9833473043120041,0.0005123064610066991,0.009352695687995882,0.00343137723404858
barabasi_albert,15,0.35,0.75,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.462222222222222,0.012257232926413108,52.0,0.0,294.4,7.9549549309862835,0.8694915422308216,0.04738864693074157,10.082216686910352,0.5096959820338812,15.566091616493095,0.2466711859981519,0.010588888888888889,0.0008356676414590278,0.6573086922880721,0.008502290909117211,0.052866666666666666,0.002807140728613843,0.021815590171581013,0.0006925586038908306,0.031051076495085657,0.0027404208721520024
barabasi_albert,15,0.35,1.25,26.0,0.0,3.4666666666666672,1.6163198016761878e-16,3.4692333333333334,0.016404374149873627,52.0,0.0,295.6,6.511850657724404,0.8886503284811819,0.037353344439678235,10.055391524259418,0.421550499089,15.637149571343368,0.21531733985648838,0.011011111111111112,0.0007758746678509722,1.8210590550490493,0.02002757892871783,0.19726666666666665,0.009207687640405134,0.2322795811046701,0.005017447109152219,-0.03501291443800345,0.0061218188310918215
