graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95
grid,10,0.1,0.5,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.6036750000000004,0.005464404869603555,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,0.701942533040881,0.010256978929346943,0.010350000000000002,0.00173583657974446,0.67115,0.012287821193531851
grid,10,0.1,1.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.59685,0.0066360660667375325,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,0.7073010850835163,0.012525023098795274,0.011250000000000001,0.0014717182939822774,1.0,0.0
grid,10,0.1,1.5,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.5963750000000005,0.004911784513317251,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,0.6975015817752539,0.009972375667895566,0.010125000000000002,0.0013893443171435031,1.0,0.0
grid,10,0.1,2.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.599225,0.006026664517834576,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,0.7072369374809604,0.01128379744351077,0.009875,0.0013893443171435031,1.0,0.0
grid,10,0.1,3.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.600725,0.006646103484472362,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,0.7021430508386552,0.009784519587659557,0.010525000000000001,0.001336683621977601,1.0,0.0
grid,10,0.2,0.5,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.603625,0.00524810720265187,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,2.8130287889048224,0.045371976280869336,0.010125000000000002,0.0011658011701920067,0.1021,0.0075481767195445075
grid,10,0.2,1.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.6031999999999993,0.004890913680650985,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,2.7822919756202094,0.04061266523384541,0.011700000000000002,0.0017435362734517755,0.685825,0.012447050825924908
grid,10,0.2,1.5,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.6028000000000002,0.006153210612526229,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,2.8258169267854623,0.03595625083537504,0.0095,0.0010852436059293443,0.9870749999999999,0.0013287186348231647
grid,10,0.2,2.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.5941750000000003,0.006907097535754162,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,2.791782096350769,0.036384014344928335,0.010000000000000002,0.0013109578659574797,0.9999750000000001,4.89999999999946e-05
grid,10,0.2,3.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.604375,0.0044959160122797805,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,2.7856693167702318,0.028606390211078872,0.01055,0.001034939001507869,1.0,0.0
grid,10,0.3,0.5,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.597725,0.005639752229533354,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,6.261360395759619,0.09222201510094062,0.011450000000000002,0.0014843718501351619,0.041425000000000003,0.0032145407382540253
grid,10,0.3,1.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.5992999999999995,0.007140668905715537,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,6.332617109237027,0.10630254725867506,0.010625,0.001451617518857027,0.23185000000000003,0.012371250041081031
grid,10,0.3,1.5,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.5979750000000004,0.006787582233678467,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,6.374778394220303,0.10192089001184522,0.010600000000000002,0.0017452748840949472,0.6648499999999999,0.012625235722656095
grid,10,0.3,2.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.60495,0.006555521882954457,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,6.358986031043544,0.0993276562142654,0.010875000000000001,0.0011830174399212778,0.9486000000000001,0.004383039224340251
grid,10,0.3,3.0,13.0,0.0,2.6000000000000005,1.9968686188423001e-16,2.6049499999999997,0.005763612153210127,26.0,0.0,98.0,0.0,0.4568527285104064,2.4960857735528752e-17,5.941623247098444,3.9937372376846002e-16,6.304056109032195,0.109275050204647,0.011600000000000003,0.0019413427800040065,0.9999500000000001,6.744822575793773e-05
grid,20,0.1,0.5,31.0,0.0,3.1000000000000005,1.9968686188423001e-16,3.0977500000000004,0.00702581188415822,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528752e-17,7.032247551122994,3.9937372376846002e-16,1.2834786706122199,0.015221396825037769,0.012975,0.0017566418171284118,0.551175,0.013918301792584957
grid,20,0.1,1.0,31.0,0.0,3.1000000000000005,1.9968686188423001e-16,3.0994499999999996,0.006820057400591886,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528752e-17,7.032247551122994,3.9937372376846002e-16,1.2741980646483877,0.013790885715277285,0.012300000000000002,0.0013422027456857313,0.9998000000000001,0.00016521373716300142
grid,20,0.1,1.5,31.0,0.0,3.1000000000000005,1.9968686188423001e-16,3.0985500000000004,0.0052721430577188175,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528752e-17,7.032247551122994,3.9937372376846002e-16,1.292645312875639,0.013604986355484848,0.010925,0.0016540866616385388,1.0,0.0
