graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,mean_anomaly_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,pd,repetition
path,10,0.1,1.5,9,1.8,1.786,18.0,52.0,0.09788696740969276,3.902113032590307,0.5024764857027073,0.01,1.0,11
path,10,0.1,1.5,9,1.8,1.7985,18.0,52.0,0.09788696740969276,3.902113032590307,0.5012051118446919,0.0115,1.0,12
path,10,0.1,1.5,9,1.8,1.808,18.0,52.0,0.09788696740969276,3.902113032590307,0.494707725941072,0.015,1.0,13
path,10,0.1,1.5,9,1.8,1.798,18.0,52.0,0.09788696740969276,3.902113032590307,0.5498055171886216,0.008,1.0,14
path,10,0.1,1.5,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,0.5550457542575487,0.006,1.0,15
path,10,0.1,1.5,9,1.8,1.795,18.0,52.0,0.09788696740969276,3.902113032590307,0.526332563794087,0.007,1.0,16
path,10,0.1,1.5,9,1.8,1.795,18.0,52.0,0.09788696740969276,3.902113032590307,0.473577981120903,0.017,1.0,17
path,10,0.1,1.5,9,1.8,1.8145,18.0,52.0,0.09788696740969276,3.902113032590307,0.5079144830820855,0.008,1.0,18
path,10,0.1,1.5,9,1.8,1.797,18.0,52.0,0.09788696740969276,3.902113032590307,0.48977718909765416,0.0135,1.0,19
path,10,0.1,2.0,9,1.8,1.8175,18.0,52.0,0.09788696740969276,3.902113032590307,0.48676750679898056,0.013,1.0,0
path,10,0.1,2.0,9,1.8,1.783,18.0,52.0,0.09788696740969276,3.902113032590307,0.49751236450737374,0.009,1.0,1
path,10,0.1,2.0,9,1.8,1.803,18.0,52.0,0.09788696740969276,3.902113032590307,0.5051220029073451,0.0125,1.0,2
path,10,0.1,2.0,9,1.8,1.796,18.0,52.0,0.09788696740969276,3.902113032590307,0.46926197025601324,0.014,1.0,3
path,10,0.1,2.0,9,1.8,1.7865,18.0,52.0,0.09788696740969276,3.902113032590307,0.5032246675606747,0.0085,1.0,4
path,10,0.1,2.0,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,0.506217110556037,0.0075,1.0,5
path,10,0.1,2.0,9,1.8,1.7885,18.0,52.0,0.09788696740969276,3.902113032590307,0.5060571278397491,0.0105,1.0,6
path,10,0.1,2.0,9,1.8,1.811,18.0,52.0,0.09788696740969276,3.902113032590307,0.4776806713508757,0.0155,1.0,7
path,10,0.1,2.0,9,1.8,1.81,18.0,52.0,0.09788696740969276,3.902113032590307,0.5144851133905238,0.0105,1.0,8
path,10,0.1,2.0,9,1.8,1.79,18.0,52.0,0.09788696740969276,3.902113032590307,0.49746490575682506,0.0095,1.0,9
path,10,0.1,2.0,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,0.4990681853218721,0.007,1.0,10
path,10,0.1,2.0,9,1.8,1.8015,18.0,52.0,0.09788696740969276,3.902113032590307,0.5064347903006082,0.008,1.0,11
path,10,0.1,2.0,9,1.8,1.803,18.0,52.0,0.09788696740969276,3.902113032590307,0.5129586265170396,0.0105,1.0,12
path,10,0.1,2.0,9,1.8,1.7885,18.0,52.0,0.09788696740969276,3.902113032590307,0.4931816428902989,0.009,1.0,13
path,10,0.1,2.0,9,1.8,1.803,18.0,52.0,0.09788696740969276,3.902113032590307,0.534106122857303,0.0105,1.0,14
path,10,0.1,2.0,9,1.8,1.806,18.0,52.0,0.09788696740969276,3.902113032590307,0.48954743158769887,0.0095,1.0,15
path,10,0.1,2.0,9,1.8,1.807,18.0,52.0,0.09788696740969276,3.902113032590307,0.5067501433722407,0.0105,1.0,16
path,10,0.1,2.0,9,1.8,1.81,18.0,52.0,0.09788696740969276,3.902113032590307,0.4957633313466421,0.01,1.0,17
path,10,0.1,2.0,9,1.8,1.8085,18.0,52.0,0.09788696740969276,3.902113032590307,0.46950118169272875,0.016,1.0,18
path,10,0.1,2.0,9,1.8,1.803,18.0,52.0,0.09788696740969276,3.902113032590307,0.5140346045064157,0.009,1.0,19
path,10,0.1,3.0,9,1.8,1.802,18.0,52.0,0.09788696740969276,3.902113032590307,0.49757968015881154,0.0125,1.0,0
path,10,0.1,3.0,9,1.8,1.8085,18.0,52.0,0.09788696740969276,3.902113032590307,0.47553500646609653,0.0125,1.0,1
path,10,0.1,3.0,9,1.8,1.8095,18.0,52.0,0.09788696740969276,3.902113032590307,0.4797689252691064,0.015,1.0,2
path,10,0.1,3.0,9,1.8,1.8,18.0,52.0,0.09788696740969276,3.902113032590307,0.511502267169564,0.0065,1.0,3
path,10,0.1,3.0,9,1.8,1.795,18.0,52.0,0.09788696740969276,3.902113032590307,0.47876923343948197,0.0175,1.0,4
