criterion,a,b,train_nll,train_nll_per_trial,optimizer_success
R_mean,2.6515321019547926,-2.8017934062383802,2298267.976319913,0.2660032379999899,True
R_local,3.0426109653803155,-3.055167983035716,2005139.372256842,0.23207631623343078,False
R_full,4.36446083022819,-2.1627044756425815,2097674.371939493,0.24278638564114502,False
