amplitude,detector,mean_PFA,mean_PD,mean_rank,winner_fraction
0.75,euclidean,0.010110416666666667,0.27336805555555554,3.0,0.0
0.75,laplacian,0.010025,0.17690416666666667,3.611111111111111,0.0
0.75,mahalanobis,0.010035416666666666,0.3223479166666667,2.388888888888889,0.0
0.75,max_abs,0.010265972222222221,0.5232013888888889,1.0,1.0
1.5,euclidean,0.010110416666666667,0.7459319444444444,2.7222222222222223,0.0
1.5,laplacian,0.010025,0.4961125,3.6666666666666665,0.0
1.5,mahalanobis,0.010035416666666666,0.7894680555555555,2.263888888888889,0.0
1.5,max_abs,0.010265972222222221,0.9549270833333333,1.3472222222222223,0.6388888888888888
3.0,euclidean,0.010110416666666667,0.9999604166666667,2.4305555555555554,0.0
3.0,laplacian,0.010025,0.8090145833333333,3.3333333333333335,0.0
3.0,mahalanobis,0.010035416666666666,0.999986111111111,2.263888888888889,0.0
3.0,max_abs,0.010265972222222221,1.0,1.9722222222222223,0.2222222222222222
