amplitude,detector,mean_PFA,mean_PD,mean_rank,graph_energy
0.75,euclidean,0.010110416666666667,0.2749201388888889,1.3333333333333333,7.575500700900393e-17
0.75,laplacian,0.010025,0.009945138888888889,4.0,7.575500700900393e-17
0.75,mahalanobis,0.010035416666666666,0.2211201388888889,1.8611111111111112,7.575500700900393e-17
0.75,max_abs,0.010265972222222221,0.05939513888888889,2.8055555555555554,7.575500700900393e-17
1.5,euclidean,0.010110416666666667,0.7406805555555556,1.4166666666666667,3.0302002803601574e-16
1.5,laplacian,0.010025,0.009870833333333334,4.0,3.0302002803601574e-16
1.5,mahalanobis,0.010035416666666666,0.6678284722222222,1.5833333333333333,3.0302002803601574e-16
1.5,max_abs,0.010265972222222221,0.3244076388888889,3.0,3.0302002803601574e-16
3.0,euclidean,0.010110416666666667,0.9985666666666666,1.5833333333333333,1.212080112144063e-15
3.0,laplacian,0.010025,0.01006388888888889,4.0,1.212080112144063e-15
3.0,mahalanobis,0.010035416666666666,0.9698409722222221,1.6666666666666667,1.212080112144063e-15
3.0,max_abs,0.010265972222222221,0.7769437499999999,2.75,1.212080112144063e-15
