amplitude,detector,mean_PFA,mean_PD,mean_rank,winner_fraction
0.75,euclidean,0.010110416666666667,0.2731222222222222,3.75,0.0
0.75,laplacian,0.010025,0.6062194444444445,1.0555555555555556,0.9444444444444444
0.75,mahalanobis,0.010035416666666666,0.3677361111111111,3.0277777777777777,0.0
0.75,max_abs,0.010265972222222221,0.44994375,2.1666666666666665,0.05555555555555555
1.5,euclidean,0.010110416666666667,0.7458604166666666,3.4583333333333335,0.0
1.5,laplacian,0.010025,0.9621541666666666,1.4583333333333333,0.5277777777777778
1.5,mahalanobis,0.010035416666666666,0.8256159722222223,2.8333333333333335,0.0
1.5,max_abs,0.010265972222222221,0.899207638888889,2.25,0.0
3.0,euclidean,0.010110416666666667,0.9999694444444445,2.7916666666666665,0.0
3.0,laplacian,0.010025,1.0,2.25,0.027777777777777776
3.0,mahalanobis,0.010035416666666666,0.999992361111111,2.513888888888889,0.0
3.0,max_abs,0.010265972222222221,0.9999291666666666,2.4444444444444446,0.0
