noise_model,detector,mean_PFA,mean_PD,mean_rank,winner_fraction
correlated,euclidean,0.010063888888888888,0.6541472222222222,2.450617283950617,0.25617283950617287
correlated,laplacian,0.010059722222222222,0.4937773919753087,3.0123456790123457,0.13271604938271606
correlated,mahalanobis,0.009913888888888889,0.676571450617284,2.0910493827160495,0.12962962962962962
correlated,max_abs,0.010022222222222222,0.653012037037037,2.4459876543209877,0.14506172839506173
iid,euclidean,0.010156944444444444,0.6914386574074074,2.2824074074074074,0.0
iid,laplacian,0.009990277777777778,0.48937137345679016,3.111111111111111,0.12654320987654322
iid,mahalanobis,0.010156944444444444,0.6914386574074074,2.2824074074074074,0.0
iid,max_abs,0.010509722222222222,0.6660304783950618,2.324074074074074,0.19753086419753085
