graph_type,detector,mean_PFA,mean_PD,mean_rank,winner_fraction
barabasi_albert,euclidean,0.009995833333333334,0.6718686342592592,2.324074074074074,0.14814814814814814
barabasi_albert,laplacian,0.010087500000000001,0.5357436342592593,2.9606481481481484,0.14814814814814814
barabasi_albert,mahalanobis,0.009933333333333334,0.6821940972222222,2.261574074074074,0.018518518518518517
barabasi_albert,max_abs,0.010220833333333334,0.6579438657407407,2.4537037037037037,0.1712962962962963
random_geometric,euclidean,0.010041666666666667,0.6715376157407407,2.310185185185185,0.18055555555555555
random_geometric,laplacian,0.010066666666666666,0.5196940972222222,3.0439814814814814,0.09722222222222222
random_geometric,mahalanobis,0.009810416666666667,0.6647693287037036,2.2199074074074074,0.032407407407407406
random_geometric,max_abs,0.010183333333333334,0.6468630787037036,2.425925925925926,0.19444444444444445
star,euclidean,0.01029375,0.6749725694444444,2.4652777777777777,0.05555555555555555
star,laplacian,0.009920833333333334,0.4192854166666667,3.1805555555555554,0.14351851851851852
star,mahalanobis,0.0103625,0.7050517361111112,2.0787037037037037,0.14351851851851852
star,max_abs,0.01039375,0.6737568287037037,2.275462962962963,0.14814814814814814
