detector,mean_PFA,mean_abs_PFA_error,mean_PD,median_PD,mean_rank,winner_count,winner_fraction
mahalanobis,0.010035416666666666,0.0006298611111111112,0.6840050540123457,0.865425,2.1867283950617282,42,0.06481481481481481
euclidean,0.010110416666666667,0.0007229166666666668,0.6727929398148148,0.8546125,2.3665123456790123,83,0.12808641975308643
max_abs,0.010265972222222223,0.0006326388888888889,0.6595212577160494,0.887625,2.385030864197531,111,0.1712962962962963
laplacian,0.010025,0.000651388888888889,0.4915743827160494,0.4119875,3.0617283950617282,84,0.12962962962962962
