amplitude,detector,mean_PFA,mean_PD,mean_rank
0.75,euclidean,0.010110416666666667,0.2738275462962963,2.513888888888889
0.75,laplacian,0.010025,0.23350370370370369,2.884259259259259
0.75,mahalanobis,0.010035416666666666,0.29807453703703707,2.2916666666666665
0.75,max_abs,0.010265972222222221,0.3027606481481481,2.310185185185185
1.5,euclidean,0.010110416666666667,0.7449137731481481,2.3472222222222223
1.5,laplacian,0.010025,0.5125076388888888,3.136574074074074
1.5,mahalanobis,0.010035416666666666,0.7601039351851852,2.1180555555555554
1.5,max_abs,0.010265972222222221,0.7214929398148149,2.3981481481481484
3.0,euclidean,0.010110416666666667,0.9996375,2.238425925925926
3.0,laplacian,0.010025,0.7287118055555555,3.1643518518518516
3.0,mahalanobis,0.010035416666666666,0.9938366898148148,2.150462962962963
3.0,max_abs,0.010265972222222221,0.9543101851851852,2.446759259259259
