graph_type,n,noise_model,sigma,amplitude,pattern,detector,pfa_mean,pd_mean,pd_std,threshold_mean,graph_energy_mean,mahalanobis_energy_mean,signal_max_abs_mean,rayleigh_mean,pd_rank,is_winner
barabasi_albert,20,correlated,0.15,0.75,cluster,euclidean,0.009325,0.55775,0.0037934153476781762,0.9304951449657303,2.91796875,20.23206731193694,0.375,5.1875,3.0,False
barabasi_albert,20,correlated,0.15,0.75,cluster,laplacian,0.0098,0.67625,0.12996667521586702,3.8682639549444446,2.91796875,20.23206731193694,0.375,5.1875,1.0,True
barabasi_albert,20,correlated,0.15,0.75,cluster,mahalanobis,0.009725000000000001,0.563275,0.04612948261867532,37.64966627823914,2.91796875,20.23206731193694,0.375,5.1875,2.0,False
barabasi_albert,20,correlated,0.15,0.75,cluster,max_abs,0.00885,0.468125,0.026243904054084638,0.5240619450927928,2.91796875,20.23206731193694,0.375,5.1875,4.0,False
barabasi_albert,20,correlated,0.15,0.75,constant,euclidean,0.009325,0.5263500000000001,0.004108933357129775,0.9304951449657303,1.1636878843346588e-17,10.512898558724137,0.16770509831248423,2.068778461039394e-17,1.0,True
barabasi_albert,20,correlated,0.15,0.75,constant,laplacian,0.0098,0.01,0.0008124038404635967,3.8682639549444446,1.1636878843346588e-17,10.512898558724137,0.16770509831248423,2.068778461039394e-17,4.0,False
barabasi_albert,20,correlated,0.15,0.75,constant,mahalanobis,0.009725000000000001,0.20400000000000001,0.024405873609987132,37.64966627823914,1.1636878843346588e-17,10.512898558724137,0.16770509831248423,2.068778461039394e-17,2.0,False
barabasi_albert,20,correlated,0.15,0.75,constant,max_abs,0.00885,0.1499,0.01316687763544063,0.5240619450927928,1.1636878843346588e-17,10.512898558724137,0.16770509831248423,2.068778461039394e-17,3.0,False
barabasi_albert,20,correlated,0.15,0.75,edge_bipolar,euclidean,0.009325,0.59615,0.008758424515859037,0.9304951449657303,3.656249999999999,35.39374107114389,0.5303300858899106,6.5,4.0,False
barabasi_albert,20,correlated,0.15,0.75,edge_bipolar,laplacian,0.0098,0.8028,0.15107501447956245,3.8682639549444446,3.656249999999999,35.39374107114389,0.5303300858899106,6.5,2.0,False
barabasi_albert,20,correlated,0.15,0.75,edge_bipolar,mahalanobis,0.009725000000000001,0.91405,0.02507063355136184,37.64966627823914,3.656249999999999,35.39374107114389,0.5303300858899106,6.5,1.0,True
barabasi_albert,20,correlated,0.15,0.75,edge_bipolar,max_abs,0.00885,0.8023,0.01101604889846326,0.5240619450927928,3.656249999999999,35.39374107114389,0.5303300858899106,6.5,3.0,False
barabasi_albert,20,correlated,0.15,0.75,fiedler,euclidean,0.009325,0.56865,0.012374301327078344,0.9304951449657303,0.8048955828685689,19.902068843826434,0.48417194103062405,1.4309254806552332,1.0,True
barabasi_albert,20,correlated,0.15,0.75,fiedler,laplacian,0.0098,0.08075,0.03808608669842571,3.8682639549444446,0.8048955828685689,19.902068843826434,0.48417194103062405,1.4309254806552332,4.0,False
barabasi_albert,20,correlated,0.15,0.75,fiedler,mahalanobis,0.009725000000000001,0.5352250000000001,0.1646976902286935,37.64966627823914,0.8048955828685689,19.902068843826434,0.48417194103062405,1.4309254806552332,2.0,False
barabasi_albert,20,correlated,0.15,0.75,fiedler,max_abs,0.00885,0.5052,0.29424202056583737,0.5240619450927928,0.8048955828685689,19.902068843826434,0.48417194103062405,1.4309254806552332,3.0,False
barabasi_albert,20,correlated,0.15,0.75,high_frequency,euclidean,0.009325,0.6041000000000001,0.004702481614353505,0.9304951449657303,7.097573405736421,38.66533722900474,0.5913661720003069,12.617908276864744,4.0,False
barabasi_albert,20,correlated,0.15,0.75,high_frequency,laplacian,0.0098,0.992775,0.0020188693205191446,3.8682639549444446,7.097573405736421,38.66533722900474,0.5913661720003069,12.617908276864744,1.0,True
