noise_model,R2,MAE,RMSE,bias,max_abs_error
iid,0.9999848843569235,0.0009985668743263795,0.0016742504324094465,-0.00011527256915743845,0.006865820877291595
correlated,0.9999864913644679,0.0009440430490944347,0.0015900648605314974,-1.7078829809536007e-05,0.006865459182062383
