pattern,mean_PD_MC,mean_PD_theory,mean_graph_energy,mean_rayleigh,R2,MAE,RMSE,bias,max_abs_error
constant,0.009913888888888885,0.0100000000105834,5.243599174646776e-16,1.331707726894419e-16,-0.013465245072119103,0.0006101851877832665,0.0007470621528031417,-8.611112169451533e-05,0.001850000016338088
fiedler,0.27336527777777775,0.2733416008720809,7.654438654537663,1.9439844202000411,0.9999777270764442,0.0011190454467585233,0.0017410949140353627,2.3676905696888206e-05,0.0065202331079330655
cluster,0.5678652777777778,0.5679852128605885,28.00444878472222,7.086323302469135,0.9999773203173111,0.0012510776321443058,0.0018889582552827724,-0.0001199350828106204,0.006865459182062383
point,0.5028342592592592,0.5028318874248442,32.12109375,8.26388888888889,0.9999845845017286,0.0010122410955693299,0.001594832376499408,2.37183441523243e-06,0.0068630698109560795
edge_bipolar,0.7411527777777778,0.7413675728405258,62.388020833333336,15.953703703703704,0.9999700158472614,0.0010031313366747627,0.0018044960267396,-0.0002147950627482069,0.0058069794158999155
high_frequency,0.8541078703703705,0.8541101320401302,112.57306272432527,28.58998418395562,0.9999575747667544,0.0008321490713322544,0.0017426673359191211,-2.2616697597013327e-06,0.006865820877291595
