graph_type,n,noise_model,sigma,amplitude,pattern,signal_norm_mean,graph_energy_mean,rayleigh_mean,normalized_rayleigh_mean,pfa_mc_mean,pfa_theory_mean,pd_mc_mean,pd_theory_mean,theoretical_mean_shift_mean,empirical_mean_shift_mean
barabasi_albert,20,correlated,0.15,0.75,cluster,0.75,2.49609375,4.4375,0.3588470947542353,0.00975,0.01000000000973257,0.6025,0.6040074413639174,2.49609375,2.4928861851531163
barabasi_albert,20,correlated,0.15,0.75,constant,0.7499999999999999,4.654751537338637e-17,8.275113844157579e-17,6.84132372476266e-18,0.00975,0.01000000000973257,0.0094,0.01000000000973257,4.654751537338637e-17,0.0031467811456610817
barabasi_albert,20,correlated,0.15,0.75,edge_bipolar,0.7499999999999999,4.1484375,7.375,0.5956532317084247,0.00975,0.01000000000973257,0.89935,0.9003154378211833,4.1484375,4.15032171764987
barabasi_albert,20,correlated,0.15,0.75,fiedler,0.75,0.7567105636868037,1.3452632243320952,0.10884049790164246,0.00975,0.01000000000973257,0.07765,0.0752878063262428,0.7567105636868037,0.7638827048594987
barabasi_albert,20,correlated,0.15,0.75,high_frequency,0.75,6.953427681155789,12.361649210943622,1.0,0.00975,0.01000000000973257,0.993,0.9928881773852455,6.953427681155789,6.982308097842686
barabasi_albert,20,correlated,0.15,0.75,point,0.75,3.09375,5.5,0.45402520820951775,0.00975,0.01000000000973257,0.7029,0.7026960076322077,3.09375,3.0907167365054176
barabasi_albert,20,correlated,0.15,1.5,cluster,1.5,10.40625,4.625,0.37285532661829357,0.00975,0.01000000000973257,1.0,0.9999736703490895,10.40625,10.384214340509148
barabasi_albert,20,correlated,0.15,1.5,constant,1.4999999999999998,1.8619006149354548e-16,8.275113844157579e-17,6.84132372476266e-18,0.00975,0.01000000000973257,0.00975,0.01000000000973257,1.8619006149354548e-16,0.0010250127404293208
barabasi_albert,20,correlated,0.15,1.5,edge_bipolar,1.4999999999999998,20.812499999999996,9.25,0.7420349497530792,0.00975,0.01000000000973257,1.0,0.9999999999874463,20.812499999999996,20.811232096415385
barabasi_albert,20,correlated,0.15,1.5,fiedler,1.5,3.0268422547472147,1.3452632243320952,0.10884049790164246,0.00975,0.01000000000973257,0.8134,0.8129773561761631,3.0268422547472147,3.028137381343181
barabasi_albert,20,correlated,0.15,1.5,high_frequency,1.5,27.813710724623157,12.361649210943622,1.0,0.00975,0.01000000000973257,1.0,0.9999999999999994,27.813710724623157,27.760781376507005
barabasi_albert,20,correlated,0.15,1.5,point,1.5,9.5625,4.25,0.3435887714241576,0.00975,0.01000000000973257,1.0,0.9999996731593807,9.5625,9.56301930096246
barabasi_albert,20,correlated,0.15,3.0,cluster,3.0,44.4375,4.9375,0.40603151078158845,0.00975,0.01000000000973257,1.0,0.9999999999998592,44.4375,44.40094354294172
barabasi_albert,20,correlated,0.15,3.0,constant,2.9999999999999996,7.447602459741819e-16,8.275113844157579e-17,6.84132372476266e-18,0.00975,0.01000000000973257,0.009600000000000001,0.01000000000973257,7.447602459741819e-16,-0.001376135074730167
barabasi_albert,20,correlated,0.15,3.0,edge_bipolar,2.9999999999999996,61.874999999999986,6.875,0.556050172895831,0.00975,0.01000000000973257,1.0,1.0,61.874999999999986,61.85587250234396
barabasi_albert,20,correlated,0.15,3.0,fiedler,3.0,12.107369018988859,1.3452632243320952,0.10884049790164246,0.00975,0.01000000000973257,1.0,0.999999999999917,12.107369018988859,12.108400528745662
barabasi_albert,20,correlated,0.15,3.0,high_frequency,3.0,111.25484289849263,12.361649210943622,1.0,0.00975,0.01000000000973257,1.0,0.9999999998993276,111.25484289849263,111.16320775552639
barabasi_albert,20,correlated,0.15,3.0,point,3.0,54.0,6.0,0.4944089313090359,0.00975,0.01000000000973257,1.0,1.0,54.0,54.04769766691201
barabasi_albert,20,correlated,0.3,0.75,cluster,0.75,2.84765625,5.0625,0.3705186483330211,0.01005,0.009999999994460607,0.0973,0.09548186694818579,2.84765625,2.850813785676592
barabasi_albert,20,correlated,0.3,0.75,constant,0.7499999999999999,4.0729075951713065e-17,7.24072461363788e-17,5.1314743938165805e-18,0.01005,0.009999999994460607,0.0095,0.009999999994460607,4.0729075951713065e-17,0.0008586640148657843
barabasi_albert,20,correlated,0.3,0.75,edge_bipolar,0.7499999999999999,3.867187499999999,6.875,0.5132206873417205,0.01005,0.009999999994460607,0.1417,0.14013291118802262,3.867187499999999,3.885495011178728
barabasi_albert,20,correlated,0.3,0.75,fiedler,0.75,0.800533982355996,1.4231715241884375,0.10659079452872404,0.01005,0.009999999994460607,0.0169,0.01718065112236862,0.800533982355996,0.8227325740999485
barabasi_albert,20,correlated,0.3,0.75,high_frequency,0.75,7.669387766529024,13.634467140496042,1.0000000000000002,0.01005,0.009999999994460607,0.4097,0.4087851496379502,7.669387766529024,7.6922030825633545
barabasi_albert,20,correlated,0.3,0.75,point,0.75,4.21875,7.5,0.5541403359772104,0.01005,0.009999999994460607,0.16319999999999998,0.1668413509041659,4.21875,4.186423003796021
barabasi_albert,20,correlated,0.3,1.5,cluster,1.5,13.359375,5.9375,0.4344382256461871,0.01005,0.009999999994460607,0.7387,0.7367727524473349,13.359375,13.350408339013612
barabasi_albert,20,correlated,0.3,1.5,constant,1.4999999999999998,1.6291630380685226e-16,7.24072461363788e-17,5.1314743938165805e-18,0.01005,0.009999999994460607,0.0104,0.009999999994460607,1.6291630380685226e-16,0.014697088324509666
barabasi_albert,20,correlated,0.3,1.5,edge_bipolar,1.4999999999999998,18.281249999999996,8.125,0.6044492203905449,0.01005,0.009999999994460607,0.9256,0.9242400917656064,18.281249999999996,18.285485915305912
barabasi_albert,20,correlated,0.3,1.5,fiedler,1.5,3.202135929423984,1.4231715241884375,0.10659079452872404,0.01005,0.009999999994460607,0.0744,0.07561161888044216,3.202135929423984,3.2043686226385617
barabasi_albert,20,correlated,0.3,1.5,high_frequency,1.5,30.677551066116095,13.634467140496042,1.0000000000000002,0.01005,0.009999999994460607,0.99405,0.9936287073821424,30.677551066116095,30.841921429735713
barabasi_albert,20,correlated,0.3,1.5,point,1.5,10.6875,4.75,0.3440949968987989,0.01005,0.009999999994460607,0.57535,0.5759237519038457,10.6875,10.678566720367336
barabasi_albert,20,correlated,0.3,3.0,cluster,3.0,47.8125,5.3125,0.38903186332627226,0.01005,0.009999999994460607,1.0,0.9999963500081229,47.8125,47.76026227644701
barabasi_albert,20,correlated,0.3,3.0,constant,2.9999999999999996,6.51665215227409e-16,7.24072461363788e-17,5.1314743938165805e-18,0.01005,0.009999999994460607,0.00895,0.009999999994460607,6.51665215227409e-16,0.007134974078203404
barabasi_albert,20,correlated,0.3,3.0,edge_bipolar,2.9999999999999996,62.999999999999986,7.0,0.51650331427881,0.01005,0.009999999994460607,1.0,0.9999999999559708,62.999999999999986,63.1570314438395
