graph_type,n,noise_model,sigma,amplitude,pattern,repetition,signal_location,signal_norm,signal_graph_energy,rayleigh_quotient,lambda2,lambda_max,normalized_rayleigh,tau_spectral,pfa_mc,pfa_theory,pd_mc,pd_theory,pd_error,theoretical_mean_shift,empirical_mean_shift,mean_shift_error
star,20,iid,0.15,0.75,constant,0,all,0.7499999999999999,3.7238012298709096e-17,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0106,0.010000000001305465,0.0086,0.010000000001305465,-0.0014000000013054646,3.7238012298709096e-17,-0.00010825973724981619,-0.00010825973724985343
star,20,iid,0.15,0.75,fiedler,0,fiedler,0.7500000000000001,0.5625000000000001,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0106,0.010000000001305465,0.026,0.02127229613370607,0.004727703866293929,0.5625000000000001,0.5761587339472187,0.013658733947218615
star,20,iid,0.15,0.75,cluster,0,4;0;1;2,0.75,2.25,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0106,0.010000000001305465,0.3614,0.3567302927674738,0.004669707232526188,2.25,2.2486344239664495,-0.0013655760335504752
star,20,iid,0.15,0.75,point,0,16,0.75,0.5625,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0106,0.010000000001305465,0.0278,0.024554705094985974,0.003245294905014025,0.5625,0.5638543713759863,0.001354371375986263
star,20,iid,0.15,0.75,edge_bipolar,0,0-4,0.7499999999999999,6.1875,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0106,0.010000000001305465,0.8712,0.8770594196063675,-0.005859419606367489,6.1875,6.18872312188124,0.0012231218812397415
star,20,iid,0.15,0.75,high_frequency,0,lambda_max,0.7499999999999999,11.250000000000004,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0106,0.010000000001305465,0.9916,0.9921448187760316,-0.0005448187760315193,11.250000000000004,11.245354628821605,-0.00464537117839825
star,20,iid,0.15,1.5,constant,0,all,1.4999999999999998,1.4895204919483638e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0106,0.010000000001305465,0.0086,0.010000000001305465,-0.0014000000013054646,1.4895204919483638e-16,0.0026948471741072844,0.0026948471741071356
star,20,iid,0.15,1.5,fiedler,0,fiedler,1.5000000000000002,2.2500000000000004,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0106,0.010000000001305465,0.2806,0.27448383821631084,0.006116161783689178,2.2500000000000004,2.2547392291639445,0.004739229163944092
star,20,iid,0.15,1.5,cluster,0,13;0;1;2,1.5,9.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0106,0.010000000001305465,0.9866,0.9857875452652627,0.0008124547347373445,9.0,9.016924593223978,0.01692459322397788
star,20,iid,0.15,1.5,point,0,9,1.5,2.25,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0106,0.010000000001305465,0.273,0.27445137972525097,-0.0014513797252509453,2.25,2.2392440539810927,-0.01075594601890728
star,20,iid,0.15,1.5,edge_bipolar,0,0-5,1.4999999999999998,24.75,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0106,0.010000000001305465,1.0,0.9999998445940388,1.55405961210775e-07,24.75,24.801464753853725,0.0514647538537254
star,20,iid,0.15,1.5,high_frequency,0,lambda_max,1.4999999999999998,45.000000000000014,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0106,0.010000000001305465,1.0,0.9999999999999359,6.405986852087153e-14,45.000000000000014,44.97855119414264,-0.021448805857374964
star,20,iid,0.15,3.0,constant,0,all,2.9999999999999996,5.958081967793455e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0106,0.010000000001305465,0.009,0.010000000001305465,-0.0010000000013054653,5.958081967793455e-16,0.0023477964572987675,0.0023477964572981716
star,20,iid,0.15,3.0,fiedler,0,fiedler,3.0000000000000004,9.000000000000002,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0106,0.010000000001305465,1.0,0.9999999999999998,2.220446049250313e-16,9.000000000000002,8.994225544956967,-0.005774455043034976
star,20,iid,0.15,3.0,cluster,0,9;0;1;2,3.0,36.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0106,0.010000000001305465,1.0,1.0,0.0,36.0,35.99800422131852,-0.0019957786814828182
star,20,iid,0.15,3.0,point,0,15,3.0,9.0,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0106,0.010000000001305465,1.0,0.9999999999999993,6.661338147750939e-16,9.0,9.006614413472768,0.006614413472767922
star,20,iid,0.15,3.0,edge_bipolar,0,0-7,2.9999999999999996,99.0,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0106,0.010000000001305465,1.0,0.9999999999992047,7.952527525389996e-13,99.0,98.92120953028274,-0.07879046971726211
star,20,iid,0.15,3.0,high_frequency,0,lambda_max,2.9999999999999996,180.00000000000006,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0106,0.010000000001305465,1.0,1.0,0.0,180.00000000000006,180.53940668036807,0.5394066803680175
star,20,iid,0.15,0.75,constant,1,all,0.7499999999999999,3.7238012298709096e-17,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0096,0.010000000001305465,0.006,0.010000000001305465,-0.0040000000013054645,3.7238012298709096e-17,-2.2601579263703542e-05,-2.260157926374078e-05
star,20,iid,0.15,0.75,fiedler,1,fiedler,0.7500000000000001,0.5625000000000001,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0096,0.010000000001305465,0.0226,0.02127229613370607,0.0013277038662939285,0.5625000000000001,0.568016987235469,0.005516987235468895
star,20,iid,0.15,0.75,cluster,1,15;0;1;2,0.75,2.25,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0096,0.010000000001305465,0.3546,0.3567302927674738,-0.002130292767473785,2.25,2.2546645405239536,0.0046645405239535975
star,20,iid,0.15,0.75,point,1,8,0.75,0.5625,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0096,0.010000000001305465,0.0236,0.024554705094985974,-0.0009547050949859741,0.5625,0.5517692344421834,-0.010730765557816602
