pattern,amplitude,mean_graph_energy,mean_rayleigh,mean_PD_MC,mean_PD_theory
cluster,0.75,4.019205729166667,7.145254629629629,0.17345833333333335,0.17338296429403577
cluster,1.5,15.676432291666666,6.9673032407407405,0.5891097222222222,0.5897862167425987
cluster,3.0,64.31770833333333,7.146412037037036,0.9410277777777778,0.9407864575451307
constant,0.75,7.490855963781108e-17,1.3317077268944188e-16,0.009965277777777778,0.010000000010583404
constant,1.5,2.996342385512443e-16,1.3317077268944188e-16,0.010016666666666667,0.010000000010583404
constant,3.0,1.1985369542049772e-15,1.3317077268944188e-16,0.009759722222222222,0.010000000010583404
edge_bipolar,0.75,9.085937499999998,16.15277777777778,0.3961027777777778,0.3965526362265241
edge_bipolar,1.5,35.76562499999999,15.895833333333334,0.8274111111111111,0.8276068301025301
edge_bipolar,3.0,142.31249999999997,15.8125,0.9999444444444444,0.9999432521925237
fiedler,0.75,1.0934912363625233,1.9439844202000411,0.02467222222222222,0.024648620999760767
fiedler,1.5,4.373964945450093,1.9439844202000411,0.16608333333333333,0.1658798084420184
fiedler,3.0,17.495859781800373,1.9439844202000411,0.6293402777777778,0.6294963731744635
high_frequency,0.75,16.08186610347504,28.58998418395562,0.6019777777777777,0.6022553549018227
high_frequency,1.5,64.32746441390016,28.58998418395562,0.9603458333333335,0.9600750674790631
high_frequency,3.0,257.30985765560064,28.58998418395562,1.0,0.9999999737395044
point,0.75,4.84765625,8.618055555555555,0.19505694444444444,0.19486099168177434
point,1.5,18.015625,8.006944444444445,0.49593333333333334,0.4960016507548469
point,3.0,73.5,8.166666666666666,0.8175125,0.8176330198379108
